Orthogroup	Noccaea_praecox	Cochlearia_excelsa
OG0000041	Np006G346660, Np001G024330, Np002G096610, Np004G224690, Np002G098200, Np002G098220, Np002G100090, Np004G224910, Np001G026070, Np004G224180, Np002G107290, Np002G100540, Np004G224900, Np002G112700, Np004G229610, Np003G171480, Np002G102360, Np002G103630, Np003G170330, Np002G122190, Np006G350530	g36073
OG0000042	Np007G420820	g12385
OG0000042	Np001G027800	g17325, g27760, g45782, g45600, g35119, g54029, g40051, g49152, g3973, g3980
OG0000042	Np004G191660	g18621
OG0000043	Np005G296770	g3049, g30442
OG0000043	Np005G292440	g16404, g16232, g30055, g17329, g34409, g32562, g25038
OG0000043	Np008G426930	g53889, g53885, g42037, g14337, g24011, g3506, g47231
OG0000044	Np004G238860, Np001G016070, Np004G246570, Np003G173870, Np002G077010, Np005G260670, Np002G121850	g14749, g15027, g4490, g17910, g17917, g16165, g31981, g43446, g3382, g2931, g36166, g25959
OG0000045	Np006G334530	g7244, g39351, g17718, g41293
OG0000045	Np007G389140	g42618
OG0000046	Np005G314650	g46717
OG0000046	Np005G313330	g18113
OG0000047	Np005G282680	g42772
OG0000048	Np003G145490, Np003G145410	g4944
OG0000049	Np004G254290	g4748, g12067
OG0000049	Np002G120530	g46775, g28413, g14428, g45388, g13757, g29231, g6871, g32168, g24458, g6376, g43896, g4749, g12068, g44857, g3861, g36846, g23483, g47037, g18721, g11656, g27986, g5166, g50226, g12226, g46640, g41551, g45877, g11828, g49352, g32343
OG0000050	Np002G095340	g44326, g2819, g44187
OG0000052	Np003G173020	g37450
OG0000053	Np001G040210, Np005G311290, Np006G327430	g2712, g50347, g36530, g16902, g49418, g51200, g3380, g2153, g1735, g51079, g42562, g14493, g24166, g19260, g2184, g2480, g46139
OG0000054	Np007G389250	g9679, g35281, g34308, g35248, g9678
OG0000054	Np005G282410	g52587
OG0000055	Np005G313590	g44206
OG0000055	Np002G119230	g40991
OG0000055	Np002G119520, Np002G119220, Np002G119170	g44205
OG0000057	Np007G419120, Np007G419160, Np005G285180	g50182, g50184, g50186
OG0000057	Np007G392240, Np007G392300	g15973, g17828
OG0000057	Np006G333600, Np006G333860, Np003G187520	g27361, g5648
OG0000058	Np006G359730, Np001G037410	g50156, g182, g51073, g5874
OG0000059	Np008G426920, Np008G426800	g43343
OG0000059	Np001G044380	g42621, g14202
OG0000059	Np006G352350	g24632
OG0000059	Np001G013280, Np006G354600, Np004G196090, Np002G087800, Np005G297100, Np004G217750	g39389, g39352
OG0000061	Np004G218870, Np004G219580, Np004G218830	g45295
OG0000061	Np007G398820	g49162
OG0000061	Np005G260230	g4665, g33350
OG0000062	Np004G215190, Np007G396290	g11497, g4632
OG0000062	Np003G173970, Np003G170000	g32823, g13726, g11246, g41835
OG0000063	Np005G306870, Np003G152310	g37221, g27015, g39226, g28784, g49595, g28756, g2918, g31080, g1296, g51647
OG0000065	Np007G400220, Np006G346550, Np009G430200, Np011G436850, Np011G436620, Np001G030910, Np008G425970, Np008G426420, Np011G436540, Np006G346420, Np005G295220, Np006G346530	g30656, g20961
OG0000065	Np008G428560, Np008G428010	g8443
OG0000066	Np003G137390, Np007G377150, Np005G262320, Np002G077780	g5393
OG0000066	Np003G136700	g45535, g29501, g9719
OG0000066	Np004G250000, Np004G250510, Np003G136710	g156
OG0000067	Np006G321540, Np005G281650, Np006G321570, Np006G324160, Np006G322140	g27232, g27237, g27241, g27135, g46783, g25385, g25390, g25381, g27956, g9895, g5011
OG0000069	Np003G152400	g13794, g4275, g25547, g38079, g36963, g17549, g12998, g7180
OG0000070	Np004G218430, Np002G100330, Np002G101580	g15856, g15924, g26036
OG0000070	Np002G097070, Np006G358640, Np002G099070	g30429, g30434, g34722, g20467, g25157, g21277
OG0000070	Np002G099020, Np002G110630	g3658, g16018, g33103, g33082, g33075, g6383, g4182, g14664, g41983, g33049, g26414, g43980, g43401, g38750, g11415
OG0000070	Np006G350030	g6385, g42779, g53235
OG0000070	Np007G399950	g24990, g40193
OG0000070	Np002G099060	g26415
OG0000071	Np006G355640	g27012
OG0000072	Np003G172350, Np003G172320, Np003G172380, Np011G435700, Np007G401430, Np005G293510, Np005G297850, Np006G344890, Np002G118450, Np008G428100, Np002G117430, Np002G103330	g33477, g30198
OG0000074	Np004G229920	g50301
OG0000075	Np007G378600	g36278
OG0000075	Np004G233640	g49834, g49840, g49829
OG0000076	Np002G083960	g3195, g1602
OG0000076	Np007G423950	g10535
OG0000077	Np005G317450, Np005G317430, Np005G317440, Np005G317410, Np005G317490	g46525
OG0000077	Np005G261720	g25975, g22716
OG0000078	Np002G086990, Np002G097240, Np002G092810	g46791, g24881
OG0000080	Np004G250430	g41322
OG0000080	Np005G278660	g23667
OG0000080	Np006G328080	g23668
OG0000081	Np003G176780, Np003G176800, Np003G176750	g13268
OG0000082	Np005G302180	g17872, g19303
OG0000082	Np005G274330	g52877, g26306
OG0000082	Np001G045200	g36211, g54030
OG0000084	Np006G364960, Np006G365020	g51024
OG0000085	Np007G397830	g23926, g6225, g11811, g2447, g28998, g41305, g22798, g27140, g51223, g23925, g9976, g44428, g45095, g41306, g45986, g16819, g33053, g33047, g32349, g22731, g13751, g27674, g36174, g17792, g23490, g16728, g23073, g5927, g53641, g37024
OG0000087	Np001G049810, Np001G010980	g9991
OG0000087	Np005G287050	g9845, g2817, g339
OG0000087	Np003G139100	g5316
OG0000087	Np001G039930	g40485, g11055
OG0000087	Np005G287110	g17371, g24042
OG0000087	Np002G077440	g46232
OG0000088	Np001G038910, Np001G038970	g40516
OG0000088	Np003G148700, Np003G148740	g28933, g28934
OG0000089	Np003G136030	g29544
OG0000089	Np007G395030	g13323, g11989
OG0000090	Np004G235330	g50123
OG0000090	Np001G036430, Np001G036600, Np002G077140, Np001G052590, Np001G052610	g46242
OG0000090	Np007G385680, Np001G065320, Np001G065030, Np007G389920	g10675
OG0000093	Np001G063230	g2360
OG0000096	Np002G112160, Np001G024770	g1538, g1535
OG0000096	Np001G038620	g18473
OG0000096	Np002G088760	g18408
OG0000096	Np002G112600	g44008, g44009, g44007
OG0000097	Np003G184970, Np003G184990	g45186, g45201
OG0000097	Np003G171600, Np003G185030	g40477, g40479, g40476, g40480, g1561
OG0000099	Np002G113890, Np002G123650, Np007G403740	g43603
OG0000099	Np004G228310, Np002G123620, Np002G123600, Np002G119820, Np002G123590, Np002G123610, Np002G112400	g46874, g4737
OG0000100	Np004G233090, Np003G158140	g17260, g37826
OG0000100	Np006G360420, Np005G260470	g49149, g32974
OG0000101	Np002G122780, Np002G122800	g13563
OG0000102	Np006G343540	g2701, g43502, g42120, g25862
OG0000102	Np006G343550	g4524
OG0000102	Np002G095410	g17168, g37872
OG0000102	Np001G022480	g14670, g14674, g3225, g25089, g23755, g37179, g16420, g2810, g52815, g32214, g49776, g16019, g45814, g44457, g26056, g51982, g14689, g53169, g45038, g7327, g52993, g53005, g39776, g17169, g30940, g42556, g42170, g42155
OG0000104	Np004G251930	g31072
OG0000104	Np006G360060	g51118
OG0000104	Np007G381330	g6675
OG0000104	Np004G195150, Np004G195140	g54244, g54237, g54238
OG0000104	Np006G360080	g51117, g51119
OG0000107	Np007G398420	g11936
OG0000107	Np007G380680	g6693
OG0000108	Np005G305310, Np001G011560	g41770
OG0000110	Np001G064490	g2009
OG0000110	Np001G064450	g50627
OG0000110	Np001G064540	g2010
OG0000111	Np006G327310, Np005G313700, Np005G313670, Np005G313690	g51066
OG0000112	Np003G184320	g28315, g1342, g28314
OG0000113	Np007G416190	g43820
OG0000113	Np002G123190	g35258
OG0000113	Np002G089300, Np002G089320	g54287
OG0000117	Np007G391540	g14426
OG0000117	Np004G191700	g43638
OG0000118	Np005G315460	g14347, g14348, g14394, g45220, g45247
OG0000118	Np001G044480, Np005G313880	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578
OG0000119	Np004G207330, Np002G099820, Np005G299250, Np003G165980, Np004G231120, Np005G282950, Np004G230600, Np003G169670, Np003G176970	g52379
OG0000119	Np002G102980	g50178
OG0000120	Np002G117060, Np002G116940	g40996
OG0000120	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280	g6424
OG0000120	Np003G129250	g32414, g29781
OG0000122	Np001G056320	g18088
OG0000122	Np003G158000	g1066
OG0000123	Np004G243230	g25911
OG0000123	Np005G279480	g17137
OG0000123	Np003G131130	g25904
OG0000125	Np001G056500	g19182
OG0000125	Np003G151060	g41348
OG0000125	Np003G152340, Np001G045730	g2919, g1294, g28781
OG0000125	Np006G359820	g39998
OG0000126	Np003G176980, Np005G260240	g53241, g45978, g37471, g16077, g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732
OG0000126	Np002G094910	g35446
OG0000131	Np003G174400	g32639, g6351, g24938, g14468, g28182, g27531, g15993, g50797, g15992
OG0000132	Np007G378350, Np004G192110, Np001G023710	g50629
OG0000133	Np002G099680, Np008G425630	g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132
OG0000134	Np002G101880	g20890, g48878, g33917, g9237, g33799, g33857, g38909, g21309, g21182, g20425, g48451, g21537, g9600, g34175, g21773, g33854, g15366, g15295, g48455, g33959, g20321, g15392, g33756, g15365, g21160, g15698, g20414, g20512, g33912, g9087, g21838, g21716, g15460, g21006, g15685, g33851, g21745, g48385, g48366, g21734, g16184, g33763, g30122, g21288, g48544, g48547, g33919, g15373, g20612, g15369, g34105, g15377, g9364, g20457, g8301, g38908, g48372, g33821, g9574, g8330, g15490, g30645, g20140, g42391, g33933, g33732, g33953, g48378, g48469, g33757, g33607, g20123, g21879, g15489, g30608, g8917, g33778, g3564, g9498, g9306, g21340, g33845, g33618, g48875, g48382, g48478, g8589, g33730, g9406, g21400, g9522, g21161, g34584, g15314, g34179, g15194, g48351, g30600, g30337, g52757, g42502, g33944, g48350, g33735, g33915, g33764, g48870, g33842, g21622, g34257, g33939, g21223, g21764, g21661, g9119, g9592, g20540, g21172, g9499, g34059, g9500, g3896, g38843, g21178, g38836, g20405, g30491, g8450, g30144, g15539, g15285, g26513, g21569, g15469, g15446, g42552, g34139, g48384, g21900, g9056, g52496, g48184, g52613, g9438, g9422, g34560, g21635, g34174, g34172, g26390, g48137, g30495, g9418, g21737, g9148, g49256, g48187, g34199, g21157, g20342, g33896, g20446, g33859, g39050, g33787, g8587, g42377, g8977, g21194, g20338, g38965, g33783, g38724, g48349, g33952, g30634, g8973, g15374, g9568, g20351, g48394, g15316, g9380, g42426, g52761, g49266, g20533, g20379, g48423, g49262, g16183, g21583, g33741, g8287, g49208, g21308, g42358, g26432, g9348, g9461, g9351, g9346, g15470, g20432, g15491, g42539, g15139, g52785, g38953, g9324, g34063, g21911, g52795, g33597, g15022, g52334, g14901, g34110, g33714, g15185, g48281, g30554, g49134, g34256, g26344
OG0000135	Np003G164400, Np004G199120, Np004G190020, Np006G371220	g4028, g51256, g14066, g27772
OG0000136	Np005G312700	g43995, g46769, g46768, g46770
OG0000136	Np005G312640	g14687
OG0000136	Np002G095000	g25040, g25067
OG0000138	Np002G085260, Np006G368140	g46708
OG0000138	Np001G018700	g10345
OG0000138	Np002G085240, Np002G085270, Np002G085250	g10340
OG0000139	Np003G170780	g15900
OG0000139	Np004G225070	g14666
OG0000139	Np002G105790	g15914
OG0000139	Np001G043360, Np005G294120, Np004G258210, Np002G101620, Np001G031610, Np001G031620, Np002G101150, Np004G223980, Np001G031630, Np002G101140, Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840	g25175
OG0000140	Np003G153440	g1248
OG0000140	Np003G153920	g28714
OG0000140	Np006G362070	g1225
OG0000140	Np003G153430, Np007G424390, Np003G153390	g1252, g28702, g28701
OG0000140	Np001G046630	g11417, g11414
OG0000143	Np004G210550	g4369, g50433, g35440
OG0000145	Np004G215180	g21338, g26301
OG0000145	Np005G299660	g45298
OG0000146	Np003G160050	g1010
OG0000146	Np003G160040	g1011
OG0000146	Np003G160220	g1009
OG0000147	Np007G373950	g5985
OG0000147	Np005G273990	g23426
OG0000147	Np003G156060	g1105
OG0000147	Np002G071170	g46563
OG0000147	Np001G043050	g11547
OG0000147	Np007G389960	g6339
OG0000149	Np001G046040	g2887
OG0000149	Np003G152730	g1676, g28755, g28754
OG0000149	Np003G152700, Np003G152680	g1282
OG0000149	Np001G046030	g2888
OG0000151	Np003G164170	g915, g28415
OG0000151	Np005G277020	g17072
OG0000151	Np007G376880	g14078
OG0000151	Np003G158280	g28546
OG0000154	Np004G240190	g27332
OG0000154	Np007G408850	g12277
OG0000154	Np007G413420	g7492
OG0000154	Np003G126710	g54073, g45315, g5784
OG0000155	Np004G218540	g23645
OG0000155	Np005G287960	g47372
OG0000155	Np007G409550	g7340
OG0000156	Np006G324150	g2802
OG0000156	Np006G324140	g52256
OG0000157	Np006G338300, Np004G199240, Np002G078620	g1395
OG0000158	Np002G087830	g51427
