Orthogroup	Cardamine_hirsuta	Aethionema_saxatile
OG0000332	CARHR055410	As001G030000
OG0000332	CARHR193130, CARHR193110	As002G033230
OG0000332	CARHR095140, CARHR040120	As011G251780
OG0000334	CARHR163740	As012G277630
OG0000334	CARHR131810, CARHR250680, CARHR250610, CARHR250660	As006G146780
OG0000338	CARHR183900	As008G188190, As008G188080, As001G019490, As001G019290
OG0000339	CARHR230740	As003G061400
OG0000339	CARHR248520	As006G121550
OG0000339	CARHR141230, CARHR171770	As005G101130, As012G287430
OG0000340	CARHR138610	As005G103820
OG0000340	CARHR138640	As005G103800, As005G103810
OG0000344	CARHR222620	As005G110100
OG0000344	CARHR184910, CARHR185590, CARHR184960, CARHR184950, CARHR185620	As009G215190, As009G215530
OG0000350	CARHR029110	As003G070220, As003G070200
OG0000351	CARHR033160	As011G246630, As009G207800, As011G246680
OG0000351	CARHR203560	As011G246700, As011G246690
OG0000351	CARHR275230	As011G246600
OG0000351	CARHR033150	As009G207810, As011G246650
OG0000351	CARHR089260, CARHR089270	As007G177900
OG0000352	CARHR017440	As007G153380
OG0000358	CARHR203870, CARHR003600	As006G124930, As008G196330
OG0000358	CARHR006290, CARHR203880, CARHR203890	As008G196390
OG0000360	CARHR177840, CARHR289280, CARHR289020, CARHR292120, CARHR177850, CARHR289650, CARHR289030	As005G119730
OG0000362	CARHR057010, CARHR016600	As009G205230
OG0000362	CARHR062750	As006G134970
OG0000368	CARHR245730, CARHR245720	As003G073560, As003G073580
OG0000368	CARHR058590, CARHR058530, CARHR058550, CARHR245740, CARHR245750	As003G073600, As003G073590
OG0000370	CARHR017550, CARHR017540, CARHR017510, CARHR216970, CARHR185400, CARHR232710	As007G153440
OG0000371	CARHR025430, CARHR142610, CARHR002610, CARHR005930, CARHR011690, CARHR002600, CARHR005940, CARHR011680, CARHR142620	As005G099710, As005G099720
OG0000372	CARHR058020, CARHR234800, CARHR234790, CARHR289410, CARHR289420	As006G132540, As006G132550
OG0000373	CARHR143570, CARHR111740	As006G149560
OG0000374	CARHR041650, CARHR259760	As012G273470, As012G273550
OG0000377	CARHR051720	As001G021080
OG0000377	CARHR011030	As001G021090
OG0000382	CARHR001910	As006G122900
OG0000382	CARHR009120	As008G188710
OG0000383	CARHR028090, CARHR028100	As003G069230
OG0000383	CARHR028050, CARHR028080	As003G069340, As003G069370, As003G069310, As003G069390, As003G069380
OG0000384	CARHR043000, CARHR043010	As011G247740
OG0000386	CARHR147230, CARHR147220	As001G025230, As001G025220, As011G256850
OG0000386	CARHR163190, CARHR260720, CARHR163200	As012G276900, As012G276880
OG0000390	CARHR153480, CARHR190050, CARHR179180	As001G012620
OG0000390	CARHR095050, CARHR092870, CARHR151230	As011G251840
OG0000391	CARHR022710	As007G158340, As007G158380, As007G158390, As007G158370, As007G158360
OG0000392	CARHR159760	As010G221170
OG0000392	CARHR214620, CARHR214610, CARHR159770	As010G221200, As010G221190, As010G221180
OG0000396	CARHR292620	As001G026970
OG0000396	CARHR292570, CARHR292580	As001G026990, As001G027000, As001G027010
