Orthogroup	Cardamine_hirsuta	Erysimum_linariifolium
OG0000150	CARHR150140	El006G312870, El001G014430
OG0000150	CARHR114860	El006G312840, El006G312880, El006G312950, El006G312930
OG0000150	CARHR059580, CARHR150110	El001G011280
OG0000150	CARHR150200	El001G014390, El001G014400
OG0000151	CARHR266340	El007G339860
OG0000151	CARHR235660	El003G156070
OG0000151	CARHR082990	El005G243780
OG0000151	CARHR083000	El005G243790
OG0000151	CARHR107000	El005G273960
OG0000151	CARHR269520	El007G336000
OG0000151	CARHR046700	El004G194600, El003G193180
OG0000154	CARHR000060	El006G314290, El006G314350
OG0000154	CARHR083850	El005G244620
OG0000154	CARHR210890	El004G209500
OG0000155	CARHR227980	El003G164690
OG0000155	CARHR086560	El005G247790
OG0000155	CARHR227950	El003G164700
OG0000156	CARHR140760, CARHR186310	El006G282820, El007G349010
OG0000156	CARHR140740	El006G282860
OG0000156	CARHR140750	El006G282830
OG0000156	CARHR171350	El001G032920
OG0000157	CARHR099660	El005G265510, El005G265480, El005G265460, El005G265550
OG0000157	CARHR101220, CARHR133040, CARHR180020	El005G238850
OG0000157	CARHR101240	El003G192860
OG0000158	CARHR104280	El006G298850
OG0000160	CARHR288090	El004G209900
OG0000162	CARHR170850	El003G183220
OG0000162	CARHR170840	El005G268830
OG0000162	CARHR154310, CARHR059620, CARHR057980, CARHR057970	El007G330500
OG0000162	CARHR140170	El006G283560, El006G283550
OG0000164	CARHR041160, CARHR041170	El003G143310
OG0000164	CARHR185060, CARHR185040	El001G048350
OG0000164	CARHR246950	El003G143320
OG0000167	CARHR226380	El003G166330
OG0000167	CARHR226370, CARHR226280	El003G182670, El003G166340
OG0000167	CARHR215060	El007G355560, El007G355650
OG0000169	CARHR019250, CARHR067410, CARHR067450	El006G316110
OG0000169	CARHR067370, CARHR115410, CARHR183960	El006G309550
OG0000171	CARHR142560	El001G034570, El006G280730, El002G093670
OG0000171	CARHR023910	El002G108810
OG0000171	CARHR052550	El004G201030
OG0000171	CARHR198650	El001G066810
OG0000172	CARHR053570	El001G034720
OG0000172	CARHR052000	El001G034730
OG0000172	CARHR169320	El001G030560
OG0000174	CARHR286250	El005G261670
OG0000174	CARHR105060	El003G181040, El001G047190, El008G371470, El007G350780, El003G181660
OG0000175	CARHR160880	El001G021550
OG0000175	CARHR069390	El004G228610
OG0000175	CARHR020570	El002G104420
OG0000175	CARHR243300	El003G147420
OG0000175	CARHR244350	El003G146230
OG0000176	CARHR029840	El002G117050, El002G116930, El002G117010, El002G116700
OG0000178	CARHR104870	El007G324860, El003G162340, El003G181530, El003G168850, El006G304410
OG0000178	CARHR145030	El001G047610
OG0000180	CARHR264460	El006G317860
OG0000185	CARHR146770	El004G197640
OG0000185	CARHR116590	El001G013560
OG0000187	CARHR239530	El003G151270
OG0000187	CARHR239600	El003G151220
OG0000187	CARHR085640	El005G246530
OG0000189	CARHR246590	El004G229250
OG0000189	CARHR100900	El005G268020
OG0000190	CARHR253020	El001G005540
OG0000190	CARHR250370	El001G005520
OG0000190	CARHR250360	El001G005530
OG0000190	CARHR263930	El001G005500
OG0000190	CARHR252960	El001G005510
