Orthogroup	Arabidopsis_lyrata_Rawat	Cochlearia_excelsa
OG0000106	nbis-gene-1973, nbis-gene-1025, AL4G22680, AL4G22640, AL3G41350, AL3G41320, AL3G41330, AL3G41340	g6393
OG0000107	AL3G33780	g11936
OG0000107	AL3G33810	g6757
OG0000108	nbis-gene-805	g11756
OG0000110	AL5G41090	g2009
OG0000110	AL7G42310	g50627
OG0000112	AL8G25360	g1342
OG0000114	AL8G15310	g4924
OG0000114	AL1G67230, AL1G67210, AL1G67280, AL3G42680, AL1G52710, AL5G19550, AL2G23230, AL686U10020, AL7G52290, AL7G52440, AL7G52360, AL7G52380, AL7G52310, AL7G52410	g18420
OG0000117	AL3G40390	g45402, g46692, g6971, g3396, g51983, g16507
OG0000117	AL8G20470	g46165, g23756, g3226, g42576, g43638, g39474
OG0000117	AL6G44320	g34382, g32908
OG0000118	AL5G32600	g37032, g50081
OG0000118	AL5G18800	g14347, g14348, g14394, g45220, g45247
OG0000118	AL5G34240, AL3G50380	g45031, g45096, g45028, g11628, g36890, g45092, g45097, g11625, g45033, g17750, g17551, g17566, g17567, g24578
OG0000119	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470	g50178
OG0000120	nbis-gene-408, AL2G15570	g40996
OG0000120	nbis-gene-1458	g32414, g29781
OG0000122	nbis-gene-2149	g1066
OG0000123	AL7G26670	g17137
OG0000123	AL2G13220	g25904
OG0000125	AL6G34020	g41348
OG0000125	AL5G24690, AL189U10030, AL8G36480, AL5G24750	g2919, g1294, g28781
OG0000125	AL4G23250	g39998
OG0000126	AL3G44880, AL4G19050	g53241, g45978, g37471, g16077, g52267, g32913, g35883, g25977, g19802, g14393, g26747, g1643, g32916, g42286, g45979, g53240, g32663, g19828, g19824, g42291, g3278, g42811, g28336, g49079, g28773, g17732
OG0000127	AL1G22150	g49766
OG0000128	AL6G51530	g53276
OG0000128	AL7G53080	g5236, g5604, g3371, g22741
OG0000129	AL4G12500	g5087, g26476, g1494, g35945, g4368, g51751, g3127, g11722, g51320, g1921, g2256, g3374, g42741, g26737, g14405, g53475, g1918, g3336, g43831, g14282, g41855, g12267, g27070, g40923, g4461, g2523, g42052, g3187, g38048, g53529, g11392, g4362, g2129, g3232, g26465, g18537, g4327, g18139, g10593, g35776
OG0000130	AL4G15810, AL4G25960	g34628
OG0000130	AL667U10020	g26208, g43583
OG0000131	AL5G18060	g32639, g6351, g24938, g14468, g28182, g27531, g15993
OG0000131	AL6G40550	g15992
OG0000132	AL8G11070	g53769, g43756, g15634
OG0000132	AL614U10020	g26228
OG0000132	AL6G43140	g50629
OG0000133	AL8G19570, AL25U10030	g19947, g43640, g35382, g42719, g43495, g43464, g33594, g43872, g14817, g4106, g26152, g26059, g19681, g53756, g14659, g35132, g35623, g52434
OG0000136	AL7G53090	g14687
OG0000136	nbis-gene-1912	g25040, g25067
OG0000138	AL5G19700, AL5G19780	g10340
OG0000139	AL7G47150	g25175
OG0000140	AL48U10040, AL8G35560	g1248
OG0000140	nbis-gene-2177, nbis-gene-2176, AL8G34670, AL8G26340, nbis-gene-2178	g28714
OG0000140	AL48U10010, nbis-gene-2180	g1252, g28702, g28701
OG0000142	AL4G23860	g51131
OG0000142	AL4G25560	g51155, g51154, g51130, g51156
OG0000144	AL8G24370	g32634, g26627, g450
OG0000146	AL8G30930	g1011
OG0000146	AL8G30910	g1009
OG0000147	AL3G52950	g5985
OG0000147	AL7G22000	g23426
OG0000147	AL8G33330	g1105
OG0000147	AL2G40780	g46563
OG0000147	AL5G20850	g11547
OG0000147	AL3G44180	g6339
OG0000147	AL4G15040	g50994
OG0000149	AL5G25250	g2887
OG0000149	AL8G36180	g1676, g28755, g28754
OG0000149	AL8G36200	g1282
OG0000149	AL8G36170, AL8G36160	g1278
OG0000149	AL5G25230	g2888
OG0000151	AL8G28000	g915, g28415
OG0000151	AL7G24680	g17072
OG0000151	AL3G19690	g7540
OG0000151	AL3G49460	g14078
OG0000151	AL8G31780	g28546
OG0000152	nbis-gene-2041	g15848
OG0000152	nbis-gene-137	g22192, g30253, g4143
OG0000154	AL1G28200	g27332
OG0000154	AL3G24230	g12277
OG0000154	AL3G20620	g7492
OG0000154	AL6G11740	g54073, g45315, g5784
OG0000155	AL7G25530	g23645
OG0000155	AL7G32710	g47372
OG0000155	AL3G23610	g7340
OG0000156	AL4G44740	g52257
OG0000157	nbis-gene-652, AL685U10010	g46122, g12809
OG0000157	nbis-gene-757, AL3G37210, AL2G23540, AL2G23590, AL2G23600, AL6G44790	g1395
OG0000160	AL8G34940	g49147, g47671
OG0000160	AL1G48950	g31367, g7023, g36380, g52886
OG0000160	AL8G31450, AL236U10040	g34541, g2884
