Orthogroup	Arabidopsis_lyrata_Rawat	Aethionema_saxatile
OG0000512	AL3G47940, nbis-gene-1788, nbis-gene-1789	As003G061390
OG0000513	AL5G34560	As006G146210
OG0000513	AL5G24770, AL8G36390	As005G114770
OG0000514	AL3G34080	As011G252640, As011G252630
OG0000515	AL1G64420, AL1G64410	As012G267810
OG0000521	AL1G49870	As003G063570
OG0000521	AL6G41520	As004G080410
OG0000521	AL2G38650	As007G158420
OG0000522	AL1G47250, AL1G47260, AL1G47270, AL6G44590, AL6G44560, AL6G44600	As004G083810
OG0000523	AL5G44260, AL5G44250	As012G287730
OG0000524	AL3G19190, AL8G20800	As006G141600, As006G141560, As006G141590
OG0000525	AL2G38970	As010G241940
OG0000525	AL3G27100	As011G246900
OG0000525	AL1G62050	As012G269710
OG0000526	AL5G27060	As010G223400
OG0000526	AL5G27010	As010G223440
OG0000529	AL6G33590, AL6G33560	As005G113510, As005G113490, As005G113470
