Orthogroup	Arabidopsis_lyrata_Rawat	Cardamine_amara
OG0000086	nbis-gene-346, nbis-gene-441, nbis-gene-345, nbis-gene-344, nbis-gene-348, nbis-gene-349, nbis-gene-343, nbis-gene-440, AL2G18870, nbis-gene-342, nbis-gene-436, nbis-gene-1420, nbis-gene-434, nbis-gene-435, nbis-gene-439, nbis-gene-347, nbis-gene-1421, nbis-gene-438, nbis-gene-437, nbis-gene-1419, nbis-gene-2027, nbis-gene-1176, nbis-gene-2026, nbis-gene-926, nbis-gene-1175, nbis-gene-2028, nbis-gene-2044, nbis-gene-1, nbis-gene-2024, nbis-gene-2025, nbis-gene-2023	evm.model.RL_3.615, evm.model.RL_4.2411, evm.model.RL_4.2410
OG0000087	AL6G35120	evm.model.RL_4.1345
OG0000087	AL4G24260	evm.model.RL_6.1057
OG0000087	AL5G25960	evm.model.RL_7.1685
OG0000087	AL6G23060	evm.model.RL_4.2360
OG0000087	AL4G30750	evm.model.RL_6.1567
OG0000087	AL8G15560	evm.model.RL_4.428
OG0000087	AL7G33260	evm.model.RL_2.1599
OG0000087	AL1G32740	evm.model.RL_5.1831
OG0000087	AL2G35770	evm.model.RL_3.1990
OG0000088	AL5G23250, AL5G26870, AL3G46650, AL5G26810, AL5G26350, AL5G26360	evm.model.RL_7.1629
OG0000088	AL8G24400	evm.model.RL_8.1137
OG0000089	AL6G20220	evm.model.RL_4.2603
OG0000089	AL4G40450, AL4G40460, AL4G40470	evm.model.RL_6.2333
OG0000089	AL3G23740	evm.model.RL_1.1121
OG0000089	AL4G34130, AL4G34190	evm.model.RL_6.1820
OG0000090	AL2G24470, AL4G11370, AL1G32980	evm.model.RL_5.1846
OG0000090	AL8G19640	evm.model.RL_4.706
OG0000090	AL2G35960	evm.model.RL_3.2006
OG0000090	AL7G16760	evm.model.RL_2.2972
OG0000090	AL5G12830, AL3G47920, AL5G12840	evm.model.RL_7.2545
OG0000090	AL1G20940	evm.model.RL_5.885
OG0000091	AL2G13330, AL3G42630, AL8G16340	evm.model.RL_6.574
OG0000093	AL5G40110	evm.model.RL_7.523
OG0000093	AL5G39910	evm.model.RL_7.532
OG0000096	AL5G12940, AL5G12970	evm.model.RL_7.2533
OG0000096	AL1G67300	evm.model.RL_3.627
OG0000096	AL8G13920	evm.model.RL_4.324
OG0000096	AL8G13900	evm.model.RL_4.323
OG0000096	AL1G20220	evm.model.RL_5.825
OG0000097	AL6G49050	evm.model.RL_8.394
OG0000097	AL9U10540	evm.model.RL_2.828
OG0000097	AL6G49150	evm.model.RL_8.388
OG0000097	AL320U10020, AL6G49090, AL6G49080, AL6G45160, AL320U10010	evm.model.RL_8.395
OG0000098	AL2G13240	evm.model.RL_3.229
OG0000099	AL6G43420, nbis-gene-368, AL3G46110, AL2G13760	evm.model.RL_3.84, evm.model.RL_3.230, evm.model.RL_3.232
OG0000101	AL7G51590	evm.model.RL_2.338
OG0000101	AL1G66350	evm.model.RL_3.664
OG0000102	AL7G22190	evm.model.RL_2.452
OG0000104	AL4G23570	evm.model.RL_6.1006
OG0000104	AL1G55940	evm.model.RL_5.2109
OG0000104	AL1G59850	evm.model.RL_1.2425
OG0000105	AL5G25560, AL4G16170	evm.model.RL_1.2669
OG0000105	AL1G53250, AL1G56270	evm.model.RL_6.453
OG0000106	AL3G31600, AL3G31620, AL3G31610, AL3G32310, AL3G32820, AL3G50560	evm.model.RL_1.1887, evm.model.RL_1.1895, evm.model.RL_1.1845
OG0000106	AL3G32300	evm.model.RL_1.1896
OG0000107	AL3G33800, AL3G33790	evm.model.RL_1.1928
OG0000107	AL3G34900	evm.model.RL_1.2019, evm.model.RL_1.2021
OG0000107	AL3G33830, AL3G42780	evm.model.RL_1.1929
OG0000108	AL6G44880	evm.model.RL_4.1209
OG0000108	AL1G41020, AL1G41010, AL1G41000, AL1G40990	evm.model.RL_8.499, evm.model.RL_4.164, evm.model.RL_4.166
OG0000108	AL2G26330	evm.model.RL_3.231
OG0000109	AL433U10010	evm.model.RL_1.2753, evm.model.RL_6.342
OG0000110	AL164U10020, AL5G16810	evm.model.RL_7.771
OG0000110	AL5G41080	evm.model.RL_7.1925
OG0000112	nbis-gene-1017, AL8G37620	evm.model.RL_8.2167
OG0000114	AL8G17980, AL20U10050, AL20U10060	evm.model.RL_4.611
OG0000114	AL3G14170	evm.model.RL_1.339
OG0000115	AL1G16160	evm.model.RL_4.2608, evm.model.RL_4.2425, evm.model.RL_2.2979
OG0000116	AL4G42280	evm.model.RL_5.1553
OG0000117	AL60U10030	evm.model.RL_8.488
OG0000117	AL8G20470	evm.model.RL_3.358
OG0000118	AL5G34240, AL3G50380	evm.model.RL_8.709, evm.model.RL_8.712
OG0000119	AL1G56990, AL4G18060, AL2G19320, AL5G24470, AL6G38890, AL3G40990, AL6G49470	evm.model.RL_5.2397
OG0000120	nbis-gene-408, AL2G15570	evm.model.RL_3.399, evm.model.RL_3.395
OG0000120	nbis-gene-1458	evm.model.RL_7.2421, evm.model.RL_7.2552, evm.model.RL_6.504
OG0000122	AL8G31960	evm.model.RL_5.2721
OG0000122	AL8G32110	evm.model.RL_8.1714
OG0000124	nbis-gene-1897	evm.model.RL_3.893
OG0000125	AL3G20660, AL6G11840	evm.model.RL_4.3281
OG0000125	AL6G34020	evm.model.RL_4.1435
OG0000125	AL1G18070	evm.model.RL_5.630
OG0000125	AL189U10030, AL8G36480	evm.model.RL_8.2069
OG0000125	AL5G24750	evm.model.RL_7.1769
OG0000125	AL4G23250	evm.model.RL_6.979
OG0000126	AL3G44880, AL4G19050	evm.model.RL_1.2513
OG0000127	AL3G20220	evm.model.RL_1.823
OG0000127	AL6G11050	evm.model.RL_4.3346
OG0000127	AL6G11080	evm.model.RL_4.3343
OG0000127	AL3G20190, AL9U10500	evm.model.RL_1.822
OG0000128	AL6G51530	evm.model.RL_3.715
OG0000128	AL7G53080	evm.model.RL_5.2370
OG0000130	AL667U10020	evm.model.RL_6.625, evm.model.RL_6.679, evm.model.RL_1.2657, evm.model.RL_2.717, evm.model.RL_7.2033, evm.model.RL_2.727, evm.model.RL_6.626, evm.model.RL_4.730, evm.model.RL_2.674, evm.model.RL_6.690, evm.model.RL_5.2485, evm.model.RL_6.704, evm.model.RL_2.679, evm.model.RL_6.643, evm.model.RL_4.724, evm.model.RL_5.2503, evm.model.RL_6.691, evm.model.RL_6.707
OG0000132	nbis-gene-997, AL1G35450, nbis-gene-1953, AL1G39460	evm.model.RL_8.1179
OG0000132	AL8G11070	evm.model.RL_6.1268, evm.model.RL_7.2086
OG0000135	AL4G28120, AL2G38250	evm.model.RL_5.2429
OG0000136	AL2G24590, AL2G24600, AL2G24580	evm.model.RL_3.1028
OG0000136	AL7G53090	evm.model.RL_2.429
OG0000137	AL6G45480	evm.model.RL_7.1543
OG0000140	AL5G25860, AL5G25850	evm.model.RL_7.1690
OG0000140	AL48U10040, AL8G35560	evm.model.RL_8.2003
OG0000140	nbis-gene-2181	evm.model.RL_7.1796
OG0000144	AL6G47490, AL8G24370	evm.model.RL_8.1451
OG0000147	AL7G22000	evm.model.RL_2.2536
OG0000147	AL8G33330	evm.model.RL_8.1812
OG0000147	AL2G40780	evm.model.RL_3.2406
OG0000147	AL3G44180	evm.model.RL_1.2583
OG0000147	AL4G15040	evm.model.RL_6.348
OG0000149	AL5G25250	evm.model.RL_7.1738
OG0000149	AL5G25240	evm.model.RL_7.1737
OG0000149	AL5G25230	evm.model.RL_7.1739
OG0000150	AL5G21720, AL5G21730, AL6G15230, AL5G24190	evm.model.RL_7.1807
OG0000151	AL8G28000	evm.model.RL_8.1422
OG0000151	AL7G24680	evm.model.RL_2.2307
OG0000151	AL3G19690	evm.model.RL_1.777
OG0000151	AL3G49460	evm.model.RL_1.2853
OG0000151	AL8G31780	evm.model.RL_8.1691
OG0000151	AL2G10770, AL7G47650	evm.model.RL_3.61
OG0000154	AL1G28200	evm.model.RL_6.951, evm.model.RL_5.1456
OG0000154	AL3G20620	evm.model.RL_1.853
OG0000154	AL6G11730	evm.model.RL_2.489
OG0000155	AL7G25530	evm.model.RL_2.2243
OG0000155	AL4G46600	evm.model.RL_3.1179
OG0000156	AL4G44740	evm.model.RL_4.1065
OG0000156	AL4G44730	evm.model.RL_6.2692
