Orthogroup	Cochlearia_excelsa	Arabis_alpina
OG0000134	g18420	Aa_G84490.h1.t1, Aa_G360810.h1.t1, Aa_G753220.h1.t1, Aa_G69050.h1.t1, Aa_G578400.h1.t1
OG0000136	g36034	Aa_G1117810.h3.t1, Aa_G1117810.h5.t1, Aa_G1117810.h4.t1, Aa_G1117810.h1.t1, Aa_G1117810.h2.t1
OG0000136	g52239	Aa_G1053460.h1.t1
OG0000136	g24804, g17512, g42675	Aa_G15110.h1.t1
OG0000137	g1011	Aa_G59090.h1.t1
OG0000137	g1009	Aa_G925390.h1.t1
OG0000140	g47161	Aa_G89750.h1.t1
OG0000140	g40049	Aa_G394930.h1.t1
OG0000140	g49472, g35118	Aa_G292460.h1.t1, Aa_G151720.h1.t1, Aa_G688150.h1.t1
OG0000150	g34628	Aa_G429650.h1.t1, Aa_G429650.h2.t1, Aa_G717270.h1.t1, Aa_G741540.h1.t1, Aa_G726870.h1.t1, Aa_G439950.h1.t1
OG0000151	g19127	Aa_G329140.h1.t1, Aa_G566620.h1.t1
OG0000151	g19128	Aa_G729400.h1.t1
OG0000151	g51765	Aa_G351720.h1.t1
OG0000151	g38124	Aa_G351750.h1.t1, Aa_G351740.h1.t1, Aa_G351730.h1.t1
OG0000151	g2346	Aa_G13900.h1.t1
OG0000151	g51633	Aa_G30120.h1.t1
OG0000151	g29346	Aa_G388320.h1.t1
OG0000153	g40020	Aa_G358520.h1.t1
OG0000153	g37875, g37876	Aa_G428890.h1.t1, Aa_G428910.h1.t1, Aa_G310600.h1.t1, Aa_G173900.h1.t1
OG0000154	g36466, g36467	Aa_G37000.h1.t1
OG0000155	g36320	Aa_G11930.h1.t1, Aa_G86920.h1.t1, Aa_G83970.h1.t1
OG0000155	g1088, g32056, g27290, g43890, g41661, g11814, g11180, g53396, g43054, g53395, g52929, g31934, g27818, g27848	Aa_G30210.h1.t1, Aa_G848170.h1.t1, Aa_G330590.h1.t1
OG0000155	g36035	Aa_G506350.h1.t1
OG0000155	g35550, g48286, g41606, g13909	Aa_G50920.h1.t1
OG0000160	g5985	Aa_G190130.h1.t1
OG0000160	g23426	Aa_G620370.h1.t1
OG0000160	g1105	Aa_G307400.h1.t1
OG0000160	g6339	Aa_G194510.h1.t1
OG0000160	g17885	Aa_G241680.h1.t1
OG0000160	g11547	Aa_G490420.h1.t1
OG0000160	g46563	Aa_G21590.h1.t1
OG0000160	g50994	Aa_G41590.h1.t1
OG0000161	g27065, g39955, g42081	Aa_G172360.h1.t1
OG0000162	g28290, g11479	Aa_G363640.h1.t1
OG0000165	g28137	Aa_G49720.h1.t1, Aa_G78930.h1.t1, Aa_G78940.h1.t1, Aa_G322280.h1.t1, Aa_G169270.h1.t1
OG0000166	g46162	Aa_G510600.h1.t1, Aa_G87240.h1.t1
OG0000166	g46166	Aa_G792200.h1.t1
OG0000168	g24743, g16435, g43636, g45055, g32439, g54093, g52735, g6040, g24919, g36292, g17675, g17670, g25900, g24778, g16656, g37789, g17735, g34967, g6055, g34554, g52736, g42795, g26318, g18668, g17823, g18246, g11514, g17810, g41263, g40771, g18212, g18487, g43355, g27943, g3603, g4889, g52494, g32969, g15718, g43863, g42821, g3312, g41524, g16582, g14360, g11515, g43356, g24920, g4886, g42796, g52493, g24777, g34556, g32438, g37790, g54090, g41259, g15692, g17736, g25901, g6072, g33588, g36291, g6039, g41262, g11850, g52737, g18488, g18211, g40772, g17811, g43979, g5167, g51415, g42843, g51134, g48850, g25795, g22590, g8790, g6374, g14747, g33436, g46970, g34392, g43996, g42027, g26008, g36867, g16581, g11849, g41260, g33586, g19252, g26691, g45054, g27944, g11197, g6071, g4312, g15691, g26317, g24744, g3190, g18468, g43799, g43784, g43812, g43808, g26007, g4311, g16426, g17674, g18245, g26319, g33437, g32968, g43637, g24745, g26694, g42309, g4302, g42316, g16427, g30014, g30015, g30013, g27942, g34966, g42026, g14746, g42822, g3270, g17673, g17669, g18467, g13561, g23652, g25195, g32444, g41848, g16114, g14104, g18469, g13560, g19877, g53795, g53027, g14598, g14589, g22834, g14811, g14105, g19878, g53796, g41844, g53028, g16115, g33111	Aa_G820.h1.t1
OG0000170	g2799	Aa_G16100.h1.t1
OG0000170	g52256	Aa_G16090.h1.t1, Aa_G569190.h1.t1, Aa_G569190.h2.t1, Aa_G569190.h3.t1
OG0000170	g37614, g37615	Aa_G16040.h1.t1
OG0000171	g915, g28415	Aa_G134060.h1.t1
OG0000171	g14078	Aa_G70150.h1.t1
OG0000171	g28546	Aa_G580840.h1.t1
OG0000171	g7540	Aa_G24370.h1.t1
OG0000171	g17072	Aa_G2000.h1.t1
OG0000174	g52379	Aa_G311760.h4.t1, Aa_G311760.h7.t1, Aa_G311760.h3.t1, Aa_G311760.h1.t1, Aa_G311760.h5.t1, Aa_G311760.h2.t1, Aa_G311760.h6.t1
OG0000175	g45857	Aa_G101710.h1.t1
OG0000175	g32098, g27548, g50297, g44698	Aa_G473510.h1.t1, Aa_G473510.h2.t1
OG0000175	g37719	Aa_G570790.h1.t1
OG0000176	g7705	Aa_G74650.h1.t1
