Orthogroup	Cochlearia_excelsa	Euclidium_syriacum
OG0000041	g17744, g146, g46623, g23029, g39982, g37529, g2399, g11002, g36193, g23611, g45305, g17752, g35246, g25631, g52028, g44112, g376, g47861, g12095, g19466, g36505, g6602, g22934, g32343, g7174, g919, g27324, g24163, g3137, g46399, g49352, g50524, g46729, g28511, g1087, g47181, g54100, g829, g18721, g29231, g45388, g14428, g28413, g13757, g46775, g3861, g44857, g32168, g43896, g24458, g6376, g12068, g19448, g4749, g6871, g36846, g47037, g23483, g11656, g27986, g5166, g12226, g50226, g46640, g41551, g45877, g11828, g41708, g839, g6204, g4882, g54105, g19084, g12227, g51517, g45168, g27877, g45435, g46801, g7668, g53419, g39804, g44227, g36235, g49353, g43914, g11652	ESY1_g6062_DN3_SP0_c100.t1
OG0000042	g41465, g35926, g44522, g52187, g7355, g38829, g20859, g48552, g53555, g47921	ESY1_g9008_DN2_SP0_c16.t1
OG0000042	g8527, g6175	ESY19_g41790_DN1_SP0_c0.t1, ESY4_g25239_DN1_SP0_c95.t1
OG0000042	g50559, g3768	ESY17_g39785_DN1_SP0_c100.t1
OG0000042	g6340, g16111, g37181, g6307, g53556, g54342, g16927, g32521, g27960, g26692, g47920, g599, g13492, g35927, g43602, g51339	ESY11_g53669_DN2_SP0_c100.t1, ESY11_g52866_DN2_SP0_c100.t1
OG0000043	g17574, g26273, g32581, g25935, g6093, g50828, g38190, g41487, g54206, g37824, g17258, g53614, g49526, g36920, g23518, g50147, g54117, g53495, g823, g9695, g7844, g12264, g1397, g32976, g16363, g43554, g38500, g21290, g3846, g20451, g31368, g1398, g32975, g7022, g9694, g49667, g7846, g12262, g36270, g25656, g34289, g52680, g50195, g34809, g16434, g34290, g36380, g26266, g6284, g36271, g16303, g14499, g52886, g31367, g38501, g7845, g6015, g50701, g47671, g49147, g45898, g27089, g2884, g36624, g31230, g25655, g25290, g45657, g41011, g7365, g27084, g45147, g53496, g52677, g41215, g12586, g49668, g44739, g51696, g43133, g54203, g37825, g2882, g36623, g36921, g23517, g17259, g53258, g12603, g48335, g32580, g17864, g11388, g16325, g50585, g18242, g35546, g43537, g43528, g43532, g53399, g13162, g50196, g46746, g14780, g13371, g23535, g12602, g6014, g44990, g14419, g52052, g38502, g20449, g13019, g18797, g41214, g17678, g48334, g31229, g24493, g12585, g3844, g50586, g2114, g13306, g43527, g43530, g43534, g54041	ESY4_g23863_DN2_SP0_c100.t1
OG0000046	g14749, g15027, g17910, g17917, g16165, g31981, g5572, g43446, g4490	ESY5_g2589_DN3_SP0_c0.t1
OG0000046	g3382, g2931	ESY14_g21426_DN1_SP0_c0.t1
OG0000046	g36166, g26196, g11589, g33267	ESY15_g65758_DN2_SP0_c100.t1
OG0000048	g51285	ESY3_g32465_DN3_SP0_c0.t1, ESY3_g32507_DN1_SP0_c0.t1, ESY9_g42836_DN3_SP0_c0.t1, ESY3_g32518_DN2_SP0_c0.t1, ESY3_g32027_DN2_SP0_c0.t1
OG0000048	g3814	ESY8_g58424_DN3_SP0_c0.t1, ESY8_g58362_DN3_SP0_c0.t1, ESY8_g58304_DN1_SP0_c0.t1
OG0000048	g51286	ESY3_g32505_DN1_SP0_c0.t1, ESY3_g32506_DN1_SP0_c0.t1
