Orthogroup	Rorippa_islandica	Arabis_alpina
OG0000065	Roisl.0046s0037.1.p, Roisl.0046s0036.1.p, Roisl.0046s0034.1.p	Aa_G439610.h1.t1
OG0000065	Roisl.0046s0032.1.p	Aa_G574220.h1.t1
OG0000065	Roisl.0213s0852.1.p	Aa_G120780.h1.t1, Aa_G120790.h1.t1, Aa_G508110.h1.t1
OG0000066	Roisl.0210s0757.1.p, Roisl.0091s1203.1.p, Roisl.0024s0429.1.p, Roisl.0210s0756.1.p, Roisl.0024s0428.1.p	Aa_G159180.h1.t1, Aa_G19080.h5.t1, Aa_G37410.h1.t1, Aa_G37430.h4.t1, Aa_G159180.h4.t1, Aa_G19080.h2.t1, Aa_G159190.h3.t1, Aa_G159180.h2.t1, Aa_G37410.h4.t1, Aa_G37430.h3.t1, Aa_G159180.h5.t1, Aa_G159180.h3.t1, Aa_G159190.h4.t1, Aa_G37410.h2.t1, Aa_G159190.h2.t1, Aa_G159190.h5.t1, Aa_G19080.h3.t1, Aa_G37430.h2.t1, Aa_G37430.h5.t1, Aa_G37410.h3.t1, Aa_G19080.h4.t1, Aa_G37410.h5.t1, Aa_G159190.h1.t1, Aa_G37430.h1.t1, Aa_G19080.h1.t1
OG0000066	Roisl.0214s0604.1.p, Roisl.0214s0606.1.p	Aa_G266510.h1.t1, Aa_G586620.h1.t1, Aa_G155110.h1.t1
OG0000066	Roisl.0001s0457.1.p	Aa_G64790.h4.t1, Aa_G64790.h1.t1, Aa_G503380.h2.t1, Aa_G432280.h2.t1, Aa_G503390.h4.t1, Aa_G64790.h2.t1, Aa_G64790.h3.t1, Aa_G432280.h3.t1, Aa_G503390.h1.t1, Aa_G503380.h4.t1, Aa_G432280.h4.t1, Aa_G503390.h2.t1, Aa_G503380.h3.t1, Aa_G432280.h1.t1, Aa_G503380.h1.t1, Aa_G503390.h3.t1, Aa_G486090.h1.t1
OG0000068	Roisl.0034s0163.1.p	Aa_G484940.h1.t1, Aa_G389030.h1.t1
OG0000069	Roisl.0209s0754.1.p, Roisl.0004s0031.1.p, Roisl.0209s0663.1.p	Aa_G20960.h1.t1
OG0000069	Roisl.0213s0875.1.p	Aa_G536480.h1.t1
OG0000069	Roisl.0013s0226.1.p	Aa_G707760.h1.t1, Aa_G190520.h1.t1
OG0000069	Roisl.0046s1591.1.p, Roisl.0046s1592.1.p	Aa_G396900.h1.t1
OG0000069	Roisl.0055s0038.1.p	Aa_G524570.h1.t1, Aa_G826060.h1.t1, Aa_G500310.h1.t1, Aa_G4440.h1.t1
OG0000070	Roisl.0021s0078.1.p	Aa_G349430.h1.t1, Aa_G171980.h1.t1, Aa_G171960.h1.t1, Aa_G171970.h1.t1, Aa_G171940.h1.t1, Aa_G171950.h1.t1
OG0000070	Roisl.0007s0115.1.p	Aa_G433160.h1.t1, Aa_G266320.h1.t1
OG0000070	Roisl.0004s0297.1.p	Aa_G410840.h1.t1
OG0000073	Roisl.0214s0170.1.p, Roisl.0039s0150.1.p, Roisl.0053s0105.1.p	Aa_G108990.h1.t1
OG0000075	Roisl.0214s0076.1.p, Roisl.0001s0517.1.p	Aa_G374860.h1.t1, Aa_G374850.h1.t1
OG0000075	Roisl.0001s0516.1.p	Aa_G136250.h1.t1
OG0000075	Roisl.0006s0180.1.p	Aa_G545910.h1.t1
OG0000076	Roisl.0115s0707.1.p	Aa_G137810.h1.t1
OG0000077	Roisl.0012s0354.1.p	Aa_G362960.h1.t1, Aa_G122040.h1.t1
OG0000077	Roisl.0011s0232.1.p, Roisl.0011s0236.1.p, Roisl.0011s0227.1.p, Roisl.0011s0212.1.p, Roisl.0011s0224.1.p, Roisl.0011s0218.1.p	Aa_G683270.h1.t1
OG0000077	Roisl.0021s0004.1.p	Aa_G160980.h1.t1
OG0000077	Roisl.0214s0806.1.p	Aa_G161010.h1.t1
OG0000078	Roisl.0016s0323.1.p	Aa_G339740.h1.t1
OG0000078	Roisl.0016s0321.1.p	Aa_G339750.h1.t1, Aa_G339690.h1.t1, Aa_G438190.h1.t1, Aa_G759390.h1.t1
OG0000078	Roisl.0016s0324.1.p	Aa_G339720.h1.t1
OG0000083	Roisl.0209s0532.1.p	Aa_G482960.h1.t1, Aa_G871750.h1.t1
OG0000084	Roisl.0214s0736.1.p	Aa_G572590.h1.t1
OG0000086	Roisl.0032s0023.1.p, Roisl.0032s0021.1.p, Roisl.0032s0018.1.p, Roisl.0032s0016.1.p	Aa_G108450.h1.t1
OG0000086	Roisl.0032s0015.1.p, Roisl.0024s0029.1.p, Roisl.0024s0030.1.p, Roisl.0209s0075.1.p	Aa_G703520.h1.t1
OG0000089	Roisl.0210s2052.1.p	Aa_G630880.h1.t1
OG0000089	Roisl.0209s0395.1.p	Aa_G409550.h1.t1, Aa_G88860.h1.t1
OG0000089	Roisl.0082s0748.1.p	Aa_G199760.h1.t1
OG0000089	Roisl.0210s0950.1.p	Aa_G256660.h1.t1
OG0000089	Roisl.0012s0263.1.p	Aa_G103150.h1.t1
OG0000089	Roisl.0091s0246.1.p	Aa_G580380.h1.t1
OG0000089	Roisl.0028s0886.1.p	Aa_G562810.h1.t1
OG0000089	Roisl.0007s0134.1.p, Roisl.0004s0314.1.p	Aa_G656110.h1.t1
OG0000090	Roisl.0072s0004.1.p, Roisl.0082s0485.1.p	Aa_G663410.h1.t1
OG0000090	Roisl.0214s0111.1.p, Roisl.0195s0023.1.p, Roisl.0020s0036.1.p	Aa_G84800.h1.t1, Aa_G329020.h1.t1
OG0000091	Roisl.0209s0467.1.p	Aa_G363940.h1.t1
OG0000091	Roisl.0209s0464.1.p	Aa_G296240.h1.t1
OG0000091	Roisl.0209s0418.1.p	Aa_G123680.h1.t1, Aa_G100910.h1.t1
OG0000091	Roisl.0209s0473.1.p	Aa_G425870.h1.t1, Aa_G89040.h1.t1
