Orthogroup	Euclidium_syriacum	Aethionema_saxatile
OG0000293	ESY10_g14000_DN2_SP0_c0.t1, ESY10_g13827_DN3_SP0_c0.t1, ESY7_g19224_DN2_SP0_c0.t1	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280
OG0000294	ESY3_g29804_DN3_SP0_c0.t1	As011G249490
OG0000294	ESY9_g44587_DN1_SP0_c0.t1	As006G145420
OG0000294	ESY12_g51392_DN3_SP0_c0.t1	As005G099900
OG0000294	ESY20_g13155_DN3_SP0_c0.t1	As006G122700
OG0000295	ESY11_g54015_DN1_SP0_c100.t1	As011G246810
OG0000297	ESY21_g55414_DN2_SP0_c0.t1, ESY4_g26254_DN1_SP0_c0.t1	As008G198730
OG0000297	ESY6_g48934_DN2_SP0_c0.t1, ESY6_g48920_DN2_SP0_c0.t1, ESY6_g48921_DN2_SP0_c0.t1, ESY6_g48677_DN2_SP0_c0.t1, ESY13_g56623_DN2_SP0_c0.t1	As005G114280
OG0000299	ESY7_g18962_DN3_SP0_c0.t1, ESY7_g18964_DN3_SP0_c0.t1	As010G241870, As010G241880
OG0000299	ESY7_g18963_DN3_SP0_c0.t1	As010G241860, As009G207860
OG0000299	ESY2_g36388_DN3_SP0_c0.t1	As012G267900
OG0000300	ESY11_g52574_DN3_SP0_c0.t1	As008G194750
OG0000303	ESY3_g28366_DN3_SP0_c100.t1, ESY2_g37548_DN3_SP0_c0.t1	As003G069740
OG0000307	ESY11_g53699_DN1_SP0_c63.t1	As010G227530
