Orthogroup	Aethionema_saxatile	Cardamine_hirsuta
OG0000321	As001G010170	CARHR215670, CARHR215220, CARHR215200, CARHR215650, CARHR215620, CARHR215640, CARHR215560, CARHR215610, CARHR215570
OG0000322	As009G214030	CARHR071920
OG0000322	As001G014750	CARHR036870
OG0000322	As007G153590	CARHR260510, CARHR135390
OG0000323	As002G045490	CARHR267340
OG0000323	As005G112480	CARHR235360
OG0000328	As001G029880	CARHR220880
OG0000328	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070	CARHR263560, CARHR263570
OG0000329	As007G180560	CARHR139920, CARHR139910, CARHR096590, CARHR167680
OG0000332	As001G030000	CARHR055410
OG0000332	As002G033230	CARHR193130, CARHR193110
OG0000332	As011G251780	CARHR095140, CARHR040120
OG0000334	As012G277630	CARHR163740
OG0000334	As006G146780	CARHR131810, CARHR250680, CARHR250610, CARHR250660
OG0000338	As008G188190, As008G188080, As001G019490, As001G019290	CARHR183900
OG0000339	As003G061400	CARHR230740
OG0000339	As006G121550	CARHR248520
OG0000339	As005G101130, As012G287430	CARHR141230, CARHR171770
OG0000340	As005G103820	CARHR138610
OG0000340	As005G103800, As005G103810	CARHR138640
OG0000344	As005G110100	CARHR222620
OG0000344	As009G215190, As009G215530	CARHR184910, CARHR185590, CARHR184960, CARHR184950, CARHR185620
OG0000350	As003G070220, As003G070200	CARHR029110
OG0000351	As011G246630, As009G207800, As011G246680	CARHR033160
OG0000351	As011G246700, As011G246690	CARHR203560
OG0000351	As011G246600	CARHR275230
OG0000351	As009G207810, As011G246650	CARHR033150
OG0000351	As007G177900	CARHR089260, CARHR089270
OG0000352	As007G153380	CARHR017440
OG0000358	As006G124930, As008G196330	CARHR203870, CARHR003600
OG0000358	As008G196390	CARHR006290, CARHR203880, CARHR203890
OG0000360	As005G119730	CARHR177840, CARHR289280, CARHR289020, CARHR292120, CARHR177850, CARHR289650, CARHR289030
OG0000362	As009G205230	CARHR057010, CARHR016600
OG0000362	As006G134970	CARHR062750
OG0000368	As003G073560, As003G073580	CARHR245730, CARHR245720
