Orthogroup	Aethionema_saxatile	Conringia_planisiliqua
OG0000127	As008G186430, As008G186390, As008G185640	CP6_g7448_DN3_SP0_c.t1, CP12_g30884_DN3_SP0_c.t1, CP12_g30885_DN3_SP0_c.t1
OG0000127	As008G186440	CP12_g30886_DN1_SP0_c.t1
OG0000133	As007G165020	CP23_g21574_DN1_SP0_c.t1, CP1_g38892_DN3_SP0_c.t1, CP30_g10024_DN3_SP0_c.t1, CP10_g43905_DN3_SP0_c.t1, CP18_g11530_DN3_SP0_c.t1, CP27_g41687_DN2_SP0_c.t1, CP7_g44181_DN1_SP0_c.t1, CP36_g51006_DN1_SP0_c.t1, CP31_g46836_DN3_SP0_c.t1, CP96_g34206_DN3_SP0_c.t1
OG0000133	As007G167120, As007G166850, As004G092840, As011G261830	CP16_g55355_DN3_SP0_c.t1, CP1_g38831_DN3_SP0_c.t1, CP1_g38743_DN3_SP0_c.t1, CP16_g55379_DN3_SP0_c.t1, CP18_g11525_DN3_SP0_c.t1, CP29_g21957_DN3_SP0_c.t1, CP1_g38828_DN3_SP0_c.t1, CP15_g34799_DN3_SP0_c.t1, CP16_g55378_DN1_SP0_c.t1, CP17_g5408_DN3_SP0_c.t1, CP6_g8172_DN3_SP0_c.t1, CP1_g38774_DN3_SP0_c.t1, CP25_g56000_DN3_SP0_c.t1, CP12_g31312_DN3_SP0_c.t1, CP31_g46783_DN3_SP0_c.t1, CP3_g16732_DN3_SP0_c.t1, CP3_g16786_DN3_SP0_c.t1, CP6_g9687_DN3_SP0_c.t1, CP1_g39364_DN3_SP0_c.t1, CP17_g6255_DN3_SP0_c.t1, CP9_g27528_DN3_SP0_c.t1, CP7_g44180_DN3_SP0_c.t1, CP15_g34601_DN3_SP0_c.t1, CP6_g8795_DN3_SP0_c.t1, CP15_g35572_DN3_SP0_c.t1, CP1_g40804_DN3_SP0_c.t1, CP17_g4997_DN3_SP0_c.t1, CP2_g50653_DN3_SP0_c.t1, CP22_g17525_DN3_SP0_c.t1, CP12_g31604_DN3_SP0_c.t1, CP15_g35987_DN3_SP0_c.t1, CP18_g11529_DN3_SP0_c.t1, CP23_g21575_DN3_SP0_c.t1, CP17_g4998_DN3_SP0_c.t1, CP31_g46845_DN3_SP0_c.t1, CP36_g50997_DN3_SP0_c.t1, CP1_g40805_DN3_SP0_c.t1, CP10_g44074_DN3_SP0_c.t1, CP21_g10968_DN3_SP0_c.t1, CP6_g8815_DN3_SP0_c.t1
OG0000135	As002G042510, As003G066190, As008G191880, As005G111990, As004G096380, As007G164280, As003G056190, As005G109510, As001G016500, As009G209990, As009G209980, As002G040350, As002G033550, As003G063030, As006G148760, As009G206440	CP3_g15628_DN2_SP0_c.t1
OG0000135	As001G004200	CP2_g50296_DN1_SP0_c.t1, CP15_g35923_DN2_SP0_c.t1
OG0000135	As001G005020	CP17_g5860_DN2_SP0_c.t1
OG0000135	As008G186340	CP8_g52524_DN1_SP0_c.t1, CP5_g2026_DN1_SP0_c.t1, CP21_g11066_DN3_SP0_c.t1
OG0000136	As001G028730	CP9_g28199_DN3_SP0_c.t1
OG0000138	As010G224060	CP16_g55313_DN2_SP0_c.t1
OG0000138	As001G027950, As001G027940, As007G161530	CP9_g28663_DN3_SP0_c.t1, CP2_g48868_DN3_SP0_c.t1
OG0000139	As001G010560	CP15_g35652_DN2_SP0_c.t1, CP35_g52064_DN1_SP0_c.t1
OG0000140	As005G115280, As005G115270, As005G115260, As005G115240, As008G190370	CP17_g5869_DN3_SP0_c.t1
OG0000143	As007G177750	CP3_g15650_DN3_SP0_c.t1
OG0000147	As011G265720	CP10_g43624_DN3_SP8_c.t1
OG0000147	As001G002190	CP5_g984_DN3_SP8_c.t1
OG0000147	As002G049060	CP8_g53733_DN3_SP8_c.t1
OG0000147	As010G243490	CP9_g29643_DN3_SP8_c.t1
OG0000147	As011G259420	CP17_g5850_DN3_SP8_c.t1
OG0000149	As010G224590	CP3_g14788_DN3_SP0_c.t1
OG0000149	As010G224610	CP8_g53987_DN3_SP0_c.t1, CP8_g53985_DN3_SP0_c.t1
OG0000151	As007G166070	CP5_g1205_DN3_SP7_c.t1
OG0000151	As006G141980, As006G133740	CP10_g42832_DN3_SP8_c.t1
OG0000151	As011G263600	CP10_g43893_DN3_SP8_c.t1
OG0000151	As002G047900	CP8_g53599_DN3_SP8_c.t1
OG0000151	As001G030700	CP19_g17855_DN3_SP6_c.t1, CP13_g19098_DN3_SP8_c.t1
OG0000155	As003G059350	CP11_g32106_DN3_SP0_c.t1, CP11_g32105_DN1_SP0_c.t1
OG0000161	As001G013550, As001G029600, As001G029610	CP2_g48114_DN3_SP0_c.t1, CP10_g43808_DN3_SP0_c.t1, CP9_g27597_DN3_SP0_c.t1, CP9_g27593_DN3_SP0_c.t1
OG0000164	As011G264140, As011G262780	CP5_g1063_DN3_SP0_c.t1
OG0000165	As011G245360	CP13_g20570_DN1_SP0_c.t1
OG0000166	As010G228020	CP9_g28808_DN2_SP0_c.t1
OG0000166	As004G081580, As001G006820, As003G064800, As010G230400, As010G226530, As002G041150, As009G205490, As001G005350, As008G194830, As002G036330, As008G185730, As010G227240, As009G213530, As001G028210, As006G147470, As012G278710, As009G209860, As012G278700, As009G212490, As003G065570, As004G089950, As010G228950, As010G228940, As005G111670, As004G092330, As003G068080	CP8_g54681_DN2_SP0_c.t1
OG0000167	As003G057890	CP6_g6855_DN3_SP0_c.t1
OG0000168	As008G194570	CP15_g35379_DN3_SP0_c.t1
OG0000168	As010G230090	CP14_g23759_DN1_SP0_c.t1, CP3_g16060_DN1_SP0_c.t1, CP8_g52217_DN1_SP0_c.t1
OG0000171	As005G099780	CP4_g24004_DN3_SP6_c.t1
OG0000171	As001G020870	CP2_g49264_DN3_SP7_c.t1
OG0000171	As009G200410	CP11_g32500_DN3_SP8_c.t1
OG0000175	As010G220360	CP10_g43741_DN3_SP4_c.t1
OG0000175	As007G156270	CP7_g45756_DN3_SP8_c.t1
OG0000175	As011G263590	CP5_g509_DN3_SP8_c.t1
OG0000184	As004G089570	CP9_g27599_DN3_SP0_c.t1, CP15_g34572_DN3_SP0_c.t1, CP3_g16448_DN1_SP0_c.t1
OG0000187	As001G003940	CP1_g38275_DN3_SP0_c.t1
OG0000187	As001G003960	CP5_g831_DN3_SP0_c.t1
OG0000190	As004G085680	CP11_g31843_DN3_SP0_c.t1
OG0000192	As007G157190	CP9_g29342_DN3_SP0_c.t1
OG0000195	As005G112850	CP3_g15618_DN3_SP5_c.t1, CP8_g54208_DN3_SP5_c.t1
OG0000195	As001G028840	CP5_g1726_DN3_SP8_c.t1
OG0000204	As011G254640, As011G254620, As011G254600, As011G254610, As011G254630, As011G254590	CP12_g30628_DN3_SP0_c.t1
OG0000206	As003G068620, As001G006580	CP29_g22119_DN2_SP0_c.t1
OG0000207	As003G061070	CP7_g44570_DN3_SP0_c.t1, CP10_g42561_DN3_SP0_c.t1, CP9_g29509_DN3_SP0_c.t1
OG0000208	As003G075230	CP5_g130_DN2_SP0_c.t1
OG0000208	As003G075200, As003G075180, As003G075210, As003G060140	CP3_g15247_DN3_SP0_c.t1, CP5_g129_DN3_SP0_c.t1
OG0000208	As003G075160	CP5_g1521_DN3_SP0_c.t1, CP5_g131_DN3_SP0_c.t1
OG0000213	As002G038840	CP5_g1624_DN3_SP0_c.t1, CP16_g54934_DN3_SP1_c.t1
OG0000215	As011G258310	CP18_g12127_DN2_SP0_c.t1, CP15_g35155_DN1_SP0_c.t1
OG0000217	As001G019850	CP2_g49418_DN3_SP0_c.t1, CP5_g3331_DN3_SP0_c.t1, CP2_g49421_DN3_SP0_c.t1, CP8_g52792_DN1_SP0_c.t1, CP2_g49383_DN2_SP0_c.t1, CP2_g49358_DN1_SP0_c.t1
OG0000217	As001G018860	CP2_g49375_DN3_SP0_c.t1
OG0000218	As001G022650	CP1_g37802_DN3_SP1_c.t1, CP1_g37803_DN3_SP1_c.t1, CP19_g18287_DN3_SP0_c.t1, CP19_g18288_DN3_SP2_c.t1, CP13_g19663_DN3_SP3_c.t1, CP13_g19662_DN3_SP0_c.t1, CP13_g19661_DN2_SP8_c.t1
OG0000219	As003G064990	CP2_g47984_DN2_SP0_c.t1
OG0000221	As002G040520	CP1_g40659_DN2_SP0_c.t1, CP15_g36035_DN1_SP0_c.t1, CP15_g35095_DN1_SP0_c.t1, CP20_g3834_DN1_SP0_c.t1
OG0000224	As010G235950, As010G235920, As010G235890, As010G235940, As010G235900, As010G235880	CP9_g29396_DN3_SP0_c.t1, CP9_g29395_DN3_SP1_c.t1
OG0000225	As003G069680, As003G070050	CP7_g44968_DN2_SP0_c.t1
OG0000228	As007G159250	CP7_g45473_DN3_SP2_c.t1
OG0000228	As010G233780, As010G233750	CP7_g45471_DN3_SP0_c.t1
OG0000228	As010G233770, As011G262150, As010G233790, As010G233800	CP9_g28715_DN2_SP0_c.t1, CP9_g28718_DN3_SP0_c.t1, CP9_g28716_DN2_SP0_c.t1, CP9_g28712_DN3_SP0_c.t1, CP9_g28709_DN2_SP0_c.t1, CP9_g28708_DN2_SP0_c.t1
