Orthogroup	Aethionema_saxatile	Cardamine_glauca
OG0000501	As010G232220	Cg006G209830
OG0000504	As006G143860	Cg008G283420
OG0000504	As002G037010, As002G034340	Cg004G125100
OG0000505	As009G215510	Cg008G304760, Cg008G304720, Cg008G304710
OG0000506	As010G234690	Cg008G286990
OG0000510	As001G020890, As001G020900	Cg007G250480, Cg007G250500, Cg007G250460
OG0000511	As001G032060	Cg007G247860
OG0000512	As003G061390	Cg001G017530, Cg001G017520, Cg002G068470, Cg001G017500, Cg001G017510
OG0000513	As006G146210	Cg002G052890
OG0000513	As005G114770	Cg002G061210, Cg003G107510
OG0000521	As003G063570	Cg006G209950
OG0000521	As004G080410	Cg003G085930
OG0000521	As007G158420	Cg007G278940
OG0000522	As004G083810	Cg006G212940, Cg006G212930, Cg003G083650, Cg003G083570
OG0000524	As006G141600, As006G141560, As006G141590	Cg008G312990
OG0000525	As010G241940	Cg007G279230
OG0000525	As007G153430	Cg006G228960
OG0000525	As011G246900	Cg004G130910
OG0000525	As012G269710	Cg006G196190
OG0000526	As010G223400	Cg002G059250
OG0000526	As010G223440	Cg002G059300
OG0000530	As009G203010, As009G203020, As009G203100, As009G203060, As009G202740	Cg008G297330, Cg008G297350, Cg008G297320, Cg008G297430
OG0000533	As007G180830, As003G075650	Cg005G193250
OG0000533	As011G263320	Cg004G152110
OG0000534	As007G167300, As001G022180, As001G022190, As001G022170, As001G016060	Cg007G248240, Cg007G248260, Cg007G248310, Cg007G248250
OG0000535	As001G023320	Cg002G074700, Cg002G074680, Cg007G250270
OG0000537	As006G124070	Cg003G094580, Cg003G079430
OG0000537	As004G093070	Cg001G031430
OG0000537	As006G141200	Cg004G123580
OG0000538	As005G103710, As005G103700	Cg005G162220, Cg005G162250, Cg005G162230
OG0000539	As005G120910	Cg007G251010
OG0000540	As006G128870, As006G128860, As006G128850	Cg005G177450, Cg005G177480, Cg005G177500, Cg005G177490
OG0000541	As006G128960, As006G128940	Cg005G177760
OG0000542	As009G202020	Cg008G296420
OG0000542	As012G273170	Cg006G200890
OG0000543	As007G177800	Cg005G190410, Cg005G189960, Cg005G190420, Cg005G190000, Cg005G189950, Cg005G190430, Cg005G189990, Cg005G190400, Cg005G189970, Cg005G190020, Cg005G189980
OG0000544	As008G195060	Cg006G241110
OG0000544	As008G195020, As008G195030, As008G195070, As008G195140, As008G195120	Cg006G241100
OG0000545	As010G238530	Cg007G275530
OG0000546	As011G264020, As011G264080, As011G264050, As011G264010, As011G264090, As011G264000, As011G264100, As011G263960, As011G264110, As011G263990, As011G264030, As011G264060, As011G263920, As011G264120, As011G263950, As011G263980	Cg004G152970, Cg004G152950, Cg004G152920, Cg004G152930, Cg004G152960, Cg004G152940
OG0000550	As002G037320	Cg005G170400
OG0000550	As012G276110	Cg002G054170
OG0000551	As005G117770	Cg003G112680
OG0000551	As003G075520	Cg001G001200
OG0000551	As002G053470	Cg008G290260
OG0000552	As007G159560	Cg006G222430
OG0000553	As003G063070, As003G063050	Cg006G211460
OG0000555	As003G067180	Cg003G081530, Cg007G253720
OG0000556	As006G140800	Cg008G311260, Cg008G309430
OG0000557	As012G286190	Cg002G046330
OG0000559	As005G107810	Cg008G283670, Cg008G283680, Cg008G284340
OG0000560	As005G115530	Cg003G107170
OG0000560	As008G196260, As008G196230	Cg006G242130
OG0000561	As005G118160	Cg008G302100, Cg003G090310, Cg003G095750, Cg003G113090, Cg003G113110
OG0000562	As006G139230	Cg004G121670
OG0000562	As009G200380	Cg008G294850
OG0000562	As009G205610	Cg008G306290
OG0000564	As007G177230	Cg001G008860
OG0000564	As007G177180	Cg005G189590
OG0000565	As010G233050	Cg008G295270
OG0000566	As011G250840	Cg008G300820
OG0000570	As006G135060	Cg004G117190
OG0000571	As005G113940	Cg003G108460
OG0000571	As008G191230	Cg006G237990, Cg006G238000
OG0000578	As008G187240	Cg006G235600
OG0000578	As001G020350	Cg007G251220
OG0000579	As004G098040	Cg001G042350
OG0000582	As005G113410	Cg008G302230
OG0000582	As006G130460	Cg005G180390
OG0000584	As001G000400	Cg001G012010
OG0000585	As011G246780, As003G070380, As012G275350	Cg004G130730, Cg005G172160, Cg006G216450
OG0000586	As004G082960	Cg008G317030
OG0000587	As006G122410	Cg014G331710, Cg003G077950
OG0000587	As005G100170	Cg005G158850
OG0000587	As008G198370	Cg006G244220
OG0000588	As011G247080	Cg004G131080
OG0000588	As005G104750	Cg005G163370
OG0000588	As012G269820	Cg006G196360
OG0000589	As005G114800	Cg003G107490
