Orthogroup	Odontarrhena_muralis	Arabidopsis_arenosa
OG0000087	Om004G162490	jg5068
OG0000087	Om008G339690	jg18593
OG0000087	Om008G355890	jg20749
OG0000087	Om001G006430	jg10485
OG0000087	Om004G137360	jg3235
OG0000088	Om003G119630	jg14230, jg14231, jg17633, jg14563, jg27525, jg14545, jg14558, jg14559, jg14561, jg14507
OG0000088	Om006G242180	jg5910
OG0000089	Om007G292110, Om004G166350	jg4799
OG0000089	Om002G065930, Om003G098490	jg26012, jg33022
OG0000089	Om006G254270	jg18920
OG0000089	Om008G335280	jg15311
OG0000090	Om005G202290, Om005G179690	jg4483, jg30544, jg16631
OG0000090	Om004G136810	jg3251
OG0000090	Om002G055690, Om003G124430	jg8905
OG0000093	Om003G122050	jg15862
OG0000093	Om003G122010	jg15861
OG0000093	Om003G121870	jg15848, jg15846
OG0000093	Om003G121950	jg15851
OG0000093	Om003G121730, Om003G121770, Om003G121750	jg15850
OG0000096	Om007G301150, Om003G093070, Om006G274060	jg13128
OG0000096	Om004G143550, Om008G360980	jg2240
OG0000096	Om005G187930	jg29337
OG0000097	Om008G355550, Om008G355560	jg7810
OG0000097	Om008G355570	jg7819
OG0000097	Om008G355700	jg7820
OG0000097	Om008G355610, Om008G355650, Om008G354170, Om008G354150	jg7813, jg7812, jg7815, jg7814
OG0000097	Om008G355680, Om008G355600, Om004G133820	jg21543, jg7817
OG0000098	Om001G001780	jg651, jg658, jg654, jg653, jg650
OG0000098	Om005G191670	jg29677
OG0000098	Om005G191920, Om005G192380	jg32282, jg12025
OG0000099	Om005G227450	jg455, jg458, jg453, jg457
OG0000099	Om005G227360, Om005G227350, Om005G227310, Om005G227370, Om005G227320	jg456
OG0000099	Om005G227510	jg543
OG0000101	Om005G226700, Om005G227060	jg472
OG0000104	Om005G185360	jg29111
OG0000104	Om007G283020	jg17897
OG0000104	Om003G095420	jg33004
OG0000104	Om002G069400	jg26323
OG0000104	Om003G095400	jg33349, jg33354
OG0000104	Om007G283060	jg17885, jg17878
OG0000107	Om002G067730	jg17559, jg17556
OG0000107	Om002G067740	jg26161
OG0000107	Om002G067770	jg26163, jg26160
OG0000108	Om003G100270, Om003G100260	jg17595, jg31284, jg16872
OG0000108	Om003G104790, Om003G104780, Om003G103800, Om003G124630, Om008G338810	jg27107, jg27264, jg27221, jg27229, jg27223
OG0000108	Om006G273840, Om006G273820	jg2306
OG0000109	Om007G303510	jg20882, jg6910, jg11931
OG0000110	Om003G123380	jg20835
OG0000110	Om003G123410	jg15960
OG0000110	Om003G123400	jg15959
OG0000111	Om006G259270	jg11228
OG0000112	Om005G189180	jg21770
OG0000113	Om001G037540	jg508
OG0000114	Om001G037840	jg20994
OG0000114	Om002G045910, Om002G045900	jg24299
OG0000114	Om004G135370	jg2542
OG0000118	Om008G333780	jg13696, jg13697, jg13695
OG0000119	Om008G350770, Om005G228020, Om003G109440, Om006G251230, Om001G019890	jg20878
OG0000119	Om007G284090	jg12954
OG0000119	Om004G167610, Om008G327080, Om056G377050, Om007G284890, Om002G047880, Om002G045610, Om008G336570, Om004G165930, Om006G268600, Om006G246170, Om005G185730	jg13725, jg9836, jg1719, jg21576, jg27974, jg7024
OG0000120	Om005G221860	jg893, jg889
OG0000120	Om004G161410, Om004G161280, Om002G075940, Om007G301890, Om001G024520	jg21600, jg21583, jg21561, jg21534, jg21584, jg21558
OG0000120	Om007G296760, Om007G296900, Om004G172660	jg13317, jg4214, jg4213, jg2215, jg14374
OG0000122	Om004G163000	jg32572
OG0000122	Om003G118900, Om003G118890	jg22485
OG0000122	Om003G118880	jg21685
OG0000122	Om003G118720, Om003G118730	jg22487, jg22488
OG0000123	Om005G193630	jg29806
OG0000123	Om005G193640	jg14270
OG0000123	Om005G193280, Om005G193230, Om005G193260	jg29805
OG0000124	Om004G176730	jg19874
OG0000124	Om008G318760, Om007G317440	jg20179
OG0000124	Om001G019350	jg11471
OG0000125	Om002G052080	jg24874, jg3993
OG0000125	Om006G244360	jg6123
OG0000125	Om005G185630	jg29136
OG0000125	Om006G245540	jg14378, jg22931
OG0000125	Om007G283300	jg17851
OG0000127	Om004G176360	jg3917, jg3918
OG0000127	Om004G176280	jg3920
OG0000127	Om005G189950	jg29525
OG0000127	Om005G189960	jg29526, jg29071
OG0000133	Om008G345870, Om008G349240	jg7039
OG0000136	Om003G099850	jg23234
OG0000136	Om002G064560	jg12270
OG0000138	Om001G037700	jg13819
OG0000138	Om001G026370	jg13817, jg13821
OG0000140	Om006G246590	jg22850
OG0000140	Om006G247230, Om006G247200	jg22800, jg21885, jg22801
OG0000140	Om006G246640	jg22851, jg22847
OG0000142	Om007G282780	jg17933
OG0000142	Om007G282660	jg17936
OG0000144	Om002G077770	jg32527
OG0000144	Om007G317180	jg6805
OG0000145	Om004G162350	jg12283, jg27177
OG0000145	Om003G116800	jg27362
OG0000145	Om008G347500, Om005G215130	jg17724
OG0000146	Om003G117350	jg22363
OG0000146	Om003G097230	jg21872
OG0000146	Om003G117400, Om003G117360	jg22365, jg22366
OG0000147	Om002G086500	jg28078
OG0000147	Om001G025660	jg9392
OG0000147	Om007G285990, Om006G249440	jg22635
OG0000147	Om004G130850	jg3697
OG0000147	Om006G268290	jg13954
OG0000147	Om002G078960	jg27288
OG0000149	Om007G317470	jg22901
OG0000150	Om004G164020	jg22960
OG0000150	Om007G296930	jg14055
OG0000150	Om001G010460	jg14331
OG0000150	Om005G201710	jg14325
OG0000150	Om007G293770, Om004G140630	jg22962
OG0000151	Om003G114720	jg22050
OG0000151	Om002G051120	jg24782
OG0000151	Om002G082850	jg27769
OG0000151	Om003G118410	jg22463
OG0000154	Om002G065770, Om004G147300, Om004G147290, Om002G052020, Om002G052040, Om001G020420	jg1415
OG0000154	Om005G196960	jg30094
OG0000154	Om002G056330	jg25213
OG0000154	Om004G175620	jg3985
OG0000154	Om004G175630	jg3984
OG0000155	Om001G020030	jg9725
OG0000155	Om001G007090	jg10429
OG0000155	Om001G007100	jg2004, jg10428
OG0000155	Om002G055620	jg25152
OG0000156	Om008G321950, Om008G321940	jg19948
OG0000157	Om001G032790, Om001G032520, Om008G334520, Om008G334530, Om002G083660	jg24182
OG0000157	Om008G326040, Om008G355750	jg12773, jg19021, jg19020, jg19023, jg19043, jg19019
OG0000161	Om006G236100, Om006G236170	jg23140, jg23141, jg33435, jg33436, jg21823, jg17685, jg17683, jg17687
OG0000161	Om004G175180	jg31503
OG0000161	Om007G278440	jg1847
OG0000161	Om004G167210, Om006G249300	jg1819, jg1820, jg1821, jg1704
OG0000162	Om003G125430, Om003G125400, Om003G125370	jg15299
OG0000162	Om003G125230, Om003G125290, Om007G315000	jg16105
OG0000162	Om003G125390	jg19860
OG0000162	Om003G125170	jg2591
OG0000162	Om003G125240, Om003G125350, Om003G125220, Om003G125200, Om003G125180, Om003G125210	jg16104
OG0000162	Om008G322780, Om008G322790	jg19859
OG0000164	Om001G024320	jg9497, jg31608
OG0000164	Om001G039830	jg8472
OG0000166	Om002G081230	jg11859
OG0000166	Om001G014850	jg28282, jg27759
OG0000166	Om001G033710	jg27846
OG0000166	Om006G255610, Om002G081240, Om002G060790	jg725, jg4758
OG0000167	Om001G004360	jg10624
OG0000167	Om001G004340	jg12242
OG0000169	Om003G127060	jg1552
OG0000171	Om007G301020	jg5289
OG0000172	Om003G122950	jg15926
OG0000172	Om003G123010, Om006G260870	jg15937
OG0000172	Om003G123000	jg15932
OG0000172	Om003G122820, Om006G274300	jg15930
