Orthogroup	Odontarrhena_muralis	Cardamine_hirsuta
OG0000226	Om003G089750	CARHR087530, CARHR087540, CARHR160050, CARHR160040, CARHR028040
OG0000228	Om005G207000	CARHR064120
OG0000228	Om005G207070	CARHR064130
OG0000229	Om001G026580	CARHR063260, CARHR063690, CARHR263650, CARHR063700, CARHR063280, CARHR163030
OG0000230	Om004G137280, Om004G137390, Om004G137300, Om004G137400	CARHR069290, CARHR069250
OG0000231	Om006G259610	CARHR056350, CARHR213950, CARHR041780, CARHR214130, CARHR214120, CARHR262590
OG0000234	Om006G252380	CARHR165130
OG0000234	Om006G252400	CARHR165120
OG0000234	Om006G252410	CARHR165110
OG0000234	Om008G332130	CARHR134140
OG0000234	Om004G161230	CARHR199860
OG0000235	Om002G062850, Om002G062830	CARHR091790
OG0000236	Om002G071210	CARHR097950
OG0000236	Om002G070320	CARHR097940
OG0000236	Om006G242740	CARHR062600
OG0000236	Om006G242750	CARHR062590, CARHR062610, CARHR102640
OG0000240	Om008G346090	CARHR004570
OG0000242	Om005G193910	CARHR014460
OG0000242	Om005G194120	CARHR014490
OG0000244	Om001G008070	CARHR228610
OG0000244	Om008G354340	CARHR252730
OG0000244	Om008G354350, Om003G110630	CARHR107520
OG0000247	Om002G054440, Om002G054450, Om002G054460	CARHR057950
OG0000248	Om008G353070	CARHR253870
OG0000248	Om011G365210, Om020G374470	CARHR054340
OG0000248	Om003G119420	CARHR166590
OG0000249	Om008G336610	CARHR131110
OG0000249	Om008G336590, Om008G336600	CARHR131180, CARHR131170
OG0000249	Om008G336640	CARHR131140, CARHR131130, CARHR131160, CARHR131150
OG0000250	Om001G040920, Om001G040910	CARHR215600
OG0000250	Om005G208360	CARHR263080
OG0000252	Om008G334420, Om008G334430, Om003G122070, Om004G175220	CARHR210300, CARHR210320, CARHR100570, CARHR100650, CARHR095200, CARHR095190, CARHR049800, CARHR100580
OG0000253	Om004G150660	CARHR115150
OG0000254	Om002G064970	CARHR093470, CARHR093450
OG0000254	Om004G175010	CARHR117790
OG0000256	Om008G329780	CARHR253260, CARHR253390
OG0000256	Om008G329670	CARHR135560
OG0000257	Om001G002940	CARHR041320
OG0000257	Om006G235420	CARHR216070, CARHR112870, CARHR219950, CARHR216060, CARHR057800, CARHR216110
OG0000258	Om008G334140	CARHR147300
OG0000258	Om008G327620, Om006G251330	CARHR147340
OG0000258	Om006G272550	CARHR147330
OG0000264	Om008G355250	CARHR252330, CARHR252290, CARHR251320
OG0000264	Om004G160560, Om004G160570, Om004G160550	CARHR251330
OG0000266	Om003G128150	CARHR119130
OG0000268	Om006G274870	CARHR144670
OG0000268	Om008G334210	CARHR049930
OG0000268	Om004G176390	CARHR211500
OG0000268	Om006G253920	CARHR164050
OG0000270	Om001G041100	CARHR243020, CARHR106740
OG0000270	Om001G033200	CARHR247840
OG0000273	Om007G280490	CARHR038710, CARHR038690, CARHR038330
OG0000273	Om003G099210	CARHR038630, CARHR038320
OG0000274	Om006G245790	CARHR273300
OG0000274	Om007G282440	CARHR122830
OG0000276	Om008G337850	CARHR218850
OG0000278	Om005G206870	CARHR259720
OG0000281	Om003G097620	CARHR040090
OG0000281	Om003G121390, Om003G121360, Om003G121670	CARHR229890, CARHR025250
OG0000281	Om003G121350, Om003G121370	CARHR147000
OG0000282	Om004G168720	CARHR205620
OG0000282	Om004G168690	CARHR205610
OG0000282	Om004G168680	CARHR205590, CARHR205580, CARHR205600
OG0000283	Om007G278090	CARHR180240
OG0000283	Om007G278120, Om007G278110, Om007G278160, Om007G278100, Om007G278130	CARHR180280
OG0000284	Om008G355920, Om008G362090, Om006G261130, Om008G355220, Om008G362100	CARHR119540, CARHR119080, CARHR102130, CARHR101660, CARHR102230, CARHR102520, CARHR264270, CARHR180810
OG0000286	Om001G007790	CARHR253160, CARHR266730, CARHR257990, CARHR224090, CARHR266780, CARHR036480
OG0000288	Om004G133570, Om004G133540, Om004G133530, Om004G133860, Om004G133800, Om004G133790, Om004G133550, Om004G133520, Om004G133810, Om004G133560, Om004G134190, Om002G050850, Om002G050600	CARHR112590
OG0000290	Om002G065710	CARHR157630, CARHR283740, CARHR094030, CARHR112470
OG0000290	Om005G197460, Om006G231890, Om006G251270, Om006G250320	CARHR279290, CARHR058360
OG0000294	Om002G064000	CARHR092710
OG0000294	Om008G336510	CARHR131330
OG0000294	Om008G319990	CARHR142440
OG0000294	Om004G159000	CARHR249810
OG0000294	Om005G179320	CARHR001810
OG0000297	Om005G212040, Om001G036360, Om001G036390	CARHR118860, CARHR244920, CARHR244890
OG0000297	Om006G242900, Om006G244950	CARHR274100
OG0000297	Om002G067110	CARHR095150
OG0000299	Om001G011700	CARHR071990
OG0000300	Om001G025280	CARHR103210
OG0000300	Om001G025290	CARHR103220
OG0000300	Om008G353600	CARHR103190, CARHR103130
OG0000301	Om006G257000, Om018G373790, Om003G123180, Om008G342680, Om001G016630, Om008G353760, Om001G019630, Om003G108890	CARHR263710, CARHR257150, CARHR113850, CARHR159730
OG0000304	Om008G357260	CARHR094510
OG0000308	Om007G306690, Om008G350290	CARHR018220
OG0000308	Om005G198900	CARHR018200
OG0000310	Om006G245320, Om003G096540	CARHR036840, CARHR183820, CARHR273750, CARHR273860, CARHR118680, CARHR285940
OG0000311	Om007G298120	CARHR196640
OG0000311	Om003G099520	CARHR038100
OG0000311	Om002G064550	CARHR093170
OG0000311	Om005G213850	CARHR292180
OG0000313	Om001G005460	CARHR227020, CARHR227030, CARHR227040, CARHR227060
OG0000313	Om003G099080	CARHR038820
OG0000314	Om005G181880	CARHR004130
OG0000314	Om005G181890	CARHR004140
OG0000316	Om008G335620	CARHR135700
OG0000319	Om006G273210	CARHR274060
OG0000319	Om005G185820, Om006G245010	CARHR204750, CARHR007730
OG0000321	Om003G119980	CARHR215670, CARHR215220
OG0000321	Om008G337250, Om004G152510, Om004G166140, Om008G337290, Om008G337300, Om008G337280, Om008G337270	CARHR215200, CARHR215650, CARHR215620, CARHR215640, CARHR215560, CARHR215610, CARHR215570
OG0000322	Om004G133260	CARHR071920
OG0000322	Om005G198270	CARHR017730
OG0000322	Om008G329570	CARHR036870
OG0000322	Om008G333060, Om008G330110, Om008G330430	CARHR260510, CARHR135390
OG0000323	Om003G115780	CARHR267340
OG0000323	Om001G021170	CARHR235370, CARHR235380
OG0000324	Om001G037650, Om006G272040, Om002G069780, Om002G069760, Om001G037660, Om002G069770, Om006G272050, Om007G292940, Om007G305950, Om006G251240, Om008G362470, Om008G360900, Om007G309040, Om002G085120, Om004G135510, Om004G156750, Om004G138360, Om005G207620, Om005G223670, Om006G262380, Om002G083090, Om008G349590, Om003G111220, Om004G152350, Om004G152340	CARHR116560
OG0000327	Om006G253100, Om006G251140, Om006G251150, Om006G253090	CARHR164480, CARHR164490
OG0000328	Om003G102580	CARHR220880
OG0000328	Om001G030480, Om005G213750, Om001G030460, Om001G030490	CARHR263560, CARHR263570
OG0000330	Om003G124190	CARHR169770, CARHR152730
