Orthogroup	Cardamine_glauca	Noccaea_praecox
OG0000119	Cg007G255080, Cg002G068550, Cg003G107770, Cg002G060400, Cg001G039470, Cg001G029640, Cg007G255680	Np002G102980
OG0000120	Cg007G250010, Cg007G249930	Np002G117060, Np002G116940
OG0000120	Cg008G308250, Cg008G308040, Cg008G308890, Cg008G310540	Np006G361280, Np003G165900, Np007G387790, Np007G387320, Np007G387280
OG0000120	Cg008G285500	Np003G129250
OG0000122	Cg003G103770	Np003G157830
OG0000123	Cg001G014410	Np004G243230
OG0000123	Cg006G232300	Np004G243210
OG0000123	Cg001G014420	Np005G279480
OG0000124	Cg002G063920, Cg003G086460	Np006G348530
OG0000125	Cg002G052860	Np001G056500, Np006G337140
OG0000125	Cg008G283340	Np003G126800
OG0000125	Cg008G302630	Np003G151060
OG0000125	Cg003G107610	Np003G152340
OG0000125	Cg005G178390	Np006G359820
OG0000126	Cg007G271870, Cg008G305740, Cg007G255150	Np002G094910
OG0000127	Cg007G262300, Cg007G263860	Np003G125840
OG0000127	Cg004G124780	Np007G413700, Np001G046260, Np007G413710
OG0000127	Cg007G262280	Np002G096200
OG0000131	Cg002G057540, Cg008G315100	Np003G174400
OG0000132	Cg001G031120, Cg001G029490	Np003G171960
OG0000132	Cg008G315710, Cg008G321260, Cg008G315700, Cg008G321280	Np004G202170
OG0000133	Cg007G269340	Np002G099680, Np008G425630
OG0000135	Cg004G138210	Np003G164400, Np004G199120, Np004G190020, Np006G371220
OG0000136	Cg001G037110	Np005G312700
OG0000136	Cg001G037040	Np005G302230
OG0000136	Cg001G037100	Np005G312640
OG0000137	Cg001G031800	Np003G159210, Np001G035140, Np002G094880
OG0000137	Cg001G041290	Np005G318010
OG0000138	Cg001G039000	Np002G085260, Np006G368140
OG0000138	Cg002G067580, Cg002G067290	Np002G085240, Np002G085270, Np002G085250
OG0000139	Cg005G182990	Np006G346200, Np002G108210, Np003G158850, Np004G246540, Np002G097840
OG0000140	Cg003G106820	Np003G153340
OG0000140	Cg003G106800	Np003G153440
OG0000140	Cg003G106450	Np003G153920
OG0000140	Cg003G106440	Np003G153420
OG0000140	Cg003G106810, Cg008G324860, Cg003G096950	Np003G153430, Np007G424390, Np003G153390
OG0000142	Cg005G177630	Np006G360490
OG0000144	Cg005G182040	Np007G383120, Np007G425540, Np001G049380, Np007G408140
OG0000146	Cg003G102630	Np003G160050
OG0000146	Cg003G102640	Np003G160040
OG0000146	Cg003G102600	Np003G160230
OG0000146	Cg003G102620	Np003G160060, Np003G160140, Np003G160190
OG0000146	Cg003G102610	Np003G160200
OG0000147	Cg004G155250	Np007G373950
OG0000147	Cg001G010340	Np005G273990
OG0000147	Cg003G104960	Np003G156060
OG0000147	Cg007G280860	Np002G071170
OG0000147	Cg004G146670	Np007G389960
OG0000149	Cg002G060900	Np001G046040
OG0000149	Cg002G060880	Np001G046110
OG0000149	Cg003G107300, Cg003G107310	Np003G152730
OG0000149	Cg003G107320	Np003G152700
OG0000149	Cg003G107330, Cg003G107340	Np003G152680
OG0000149	Cg002G060920	Np001G046030
OG0000150	Cg001G004220	Np001G049320
OG0000151	Cg003G100170	Np003G164170
OG0000151	Cg001G012710	Np005G277020
OG0000151	Cg004G152640	Np007G376880
OG0000151	Cg003G103430	Np003G158280
OG0000151	Cg007G246070	Np002G123910
OG0000154	Cg006G229860	Np004G240190
OG0000154	Cg004G128290	Np007G408850
OG0000154	Cg004G125060	Np007G413420
OG0000154	Cg008G283240	Np003G126710
OG0000154	Cg008G283230	Np003G126700, Np003G127150, Np002G112020
OG0000155	Cg001G013440	Np004G218540
OG0000155	Cg001G019650	Np005G287960
OG0000155	Cg004G127780	Np007G409550
OG0000156	Cg002G045690	Np001G066790
OG0000158	Cg008G283250	Np005G286690, Np005G286640, Np003G129260
OG0000158	Cg005G184100	Np001G048650, Np001G049230, Np001G050690, Np005G295650, Np007G406120, Np001G028290, Np001G028380, Np001G028350
OG0000160	Cg007G264990, Cg006G202970	Np006G327850, Np006G338270, Np003G167760, Np003G172190, Np002G094170
OG0000160	Cg003G091850	Np002G095190
OG0000161	Cg003G098030, Cg005G179900, Cg005G180000, Cg005G179820	Np001G008600
OG0000161	Cg007G261320	Np005G311810
OG0000161	Cg007G257190	Np002G086610
OG0000162	Cg008G314630	Np006G363910
OG0000162	Cg002G046140	Np001G066230
OG0000162	Cg005G160860	Np006G324990
OG0000164	Cg008G307470	Np004G198520
OG0000165	Cg009G325660	Np007G398000, Np003G163020, Np003G177100, Np003G180650, Np003G184270, Np003G134920, Np002G098680
OG0000167	Cg001G021130	Np005G289610
OG0000167	Cg001G021160	Np004G202230
OG0000168	Cg001G034720	Np007G418090, Np005G293780
OG0000171	Cg002G044340	Np006G321770, Np001G068570
OG0000171	Cg008G294880	Np003G141590
OG0000174	Cg006G205470, Cg006G207030	Np007G396640
OG0000174	Cg009G325780, Cg006G205480	Np004G217810
OG0000175	Cg002G055540	Np007G375370, Np001G053050
OG0000175	Cg007G276430	Np002G077280
OG0000175	Cg006G225880	Np004G235400
OG0000175	Cg001G004130	Np005G267520
OG0000176	Cg006G215620	Np005G310450, Np005G310750, Np005G310470
OG0000177	Cg007G261230	Np006G349030
OG0000177	Cg007G253550, Cg005G182360, Cg007G250370, Cg006G214000	Np007G404410, Np007G403560
OG0000178	Cg002G069730, Cg002G066500	Np002G123320, Np001G009130, Np003G148710, Np002G110800, Np005G274500, Np006G367500, Np002G124800
OG0000180	Cg001G043140	Np006G370740, Np006G370680
OG0000180	Cg007G269630	Np005G291320
OG0000184	Cg006G215550	Np006G360300, Np002G106510, Np011G435860, Np005G276430
OG0000187	Cg001G008920	Np005G271570
OG0000189	Cg002G073510, Cg001G002260, Cg001G002250	Np001G019990
OG0000190	Cg006G210720	Np003G183500
OG0000190	Cg006G210710	Np003G183510
OG0000191	Cg005G168430	Np006G339030, Np006G337320
OG0000191	Cg003G087540	Np005G291410
OG0000193	Cg004G140730	Np007G384080, Np007G384380, Np007G387690
OG0000195	Cg005G182280	Np006G361540
OG0000195	Cg001G036760	Np005G312480
OG0000196	Cg006G202640	Np004G214150, Np004G214340, Np003G165450
OG0000196	Cg006G240790	Np004G254380
OG0000196	Cg006G202630	Np004G214160, Np004G214310, Np003G165460
OG0000196	Cg006G240780	Np004G254390
OG0000197	Cg001G041590	Np001G016100, Np005G310190, Np002G087170, Np003G167690
OG0000203	Cg004G120290	Np007G420280, Np004G195540
OG0000203	Cg004G126450, Cg004G126500, Cg004G126510, Cg002G062080	Np007G420850
OG0000204	Cg006G200670	Np005G302460, Np006G366470
OG0000204	Cg004G138460	Np007G381450
OG0000205	Cg003G098990, Cg003G098960, Cg003G098910	Np004G252280
OG0000209	Cg007G246040	Np002G123950
OG0000209	Cg001G042590	Np002G123940, Np002G091400
OG0000210	Cg005G173490	Np006G357820
OG0000210	Cg005G173500	Np004G205190
OG0000213	Cg005G191770	Np006G368010
OG0000214	Cg003G078170	Np003G186320, Np003G186260
OG0000216	Cg001G018790, Cg001G018760	Np006G361190
OG0000218	Cg006G230920	Np004G241490
OG0000218	Cg006G230900, Cg006G230890	Np004G241460
OG0000218	Cg002G072370	Np005G283350
