Orthogroup	Cochlearia_excelsa	Cardamine_glauca
OG0000282	g5538	Cg008G288350, Cg008G323220
OG0000282	g45483	Cg008G288380
OG0000282	g29622	Cg008G288420, Cg008G288390, Cg008G288410, Cg008G288400
OG0000283	g11114, g11113, g39732	Cg008G318960, Cg008G318990, Cg008G318970
OG0000284	g10112	Cg008G323450, Cg008G323400, Cg008G323440, Cg005G189010, Cg008G323430, Cg008G323380
OG0000284	g7689	Cg008G306240, Cg008G306230
OG0000287	g13375	Cg004G137930, Cg004G140040, Cg004G137940
OG0000287	g13376	Cg004G137980
OG0000290	g11997	Cg004G135310
OG0000294	g6947	Cg004G133910
OG0000294	g39522, g25429	Cg003G077590, Cg014G332020
OG0000294	g26892	Cg006G243870
OG0000295	g12173, g12193, g12167, g12172	Cg007G263400
OG0000297	g41326	Cg003G108160
OG0000299	g53411, g29745	Cg001G026230, Cg001G026550
OG0000299	g50959	Cg005G181190
OG0000299	g27806	Cg007G279160
OG0000300	g13574, g6349	Cg004G145480, Cg004G145490
OG0000308	g44591	Cg007G273340
OG0000310	g19547, g28753	Cg002G058430
OG0000311	g45737	Cg008G296830
OG0000311	g36325	Cg006G201410
OG0000311	g6918, g13293	Cg004G134370
OG0000311	g46788	Cg001G036380
OG0000311	g45009	Cg007G265360
OG0000313	g17626	Cg001G028860
OG0000314	g26947, g49462	Cg006G241650
OG0000314	g51309	Cg005G174030
OG0000314	g30904	Cg006G241640
OG0000319	g31094	Cg003G086150, Cg003G108110
OG0000319	g49601, g27017	Cg006G238150
OG0000321	g14307	Cg001G036410
OG0000321	g46809	Cg001G036490, Cg001G035900, Cg001G035950, Cg001G035910, Cg001G035940
OG0000322	g46450	Cg007G279100
OG0000322	g51878, g53520	Cg005G165820
OG0000325	g11614	Cg001G033350
OG0000325	g53445	Cg005G185560
OG0000327	g11293, g11292, g11294	Cg002G052000
OG0000330	g1956	Cg002G046560
OG0000332	g41419	Cg008G300270
OG0000332	g54159	Cg006G199650, Cg004G136440
OG0000334	g2329	Cg002G052730
OG0000334	g37230	Cg005G168750
OG0000334	g16596	Cg014G331210, Cg003G078410
OG0000336	g31719	Cg006G228370
