Orthogroup	Noccaea_praecox	Alyssum_gmelinii
OG0000096	Np007G3726500	Ag002G0165500
OG0000098	Np007G3899100	Ag011G1254000, Ag011G1253500
OG0000098	Np005G3053200	Ag004G0531500
OG0000098	Np004G2594800	Ag040G4345100
OG0000098	Np001G0116500, Np001G0115500	Ag004G0482500, Ag004G0482700, Ag014G2044400
OG0000098	Np001G0127700	Ag004G0531100, Ag004G0531000, Ag004G0559400, Ag004G0559300
OG0000099	Np005G2972700, Np006G3467800, Np004G2293200, Np002G0982400, Np002G0982300	Ag056G4934400
OG0000100	Np002G1237300	Ag002G0106500
OG0000100	Np002G1231900	Ag002G0112700, Ag063G5079400
OG0000101	Np002G0868700	Ag015G2195700
OG0000101	Np002G0736300	Ag037G4126400
OG0000101	Np001G0036300	Ag017G2433300, Ag013G1679700
OG0000102	Np003G1716100	Ag016G2365600
OG0000102	Np003G1795300	Ag016G2370600
OG0000102	Np003G1850000	Ag016G2370800
OG0000105	Np002G1229900	Ag002G0112600
OG0000105	Np003G1459200	Ag048G4614100
OG0000106	Np003G1577500, Np001G0089700, Np006G3705300	Ag033G3599600, Ag006G0804300, Ag066G5146700, Ag014G2108300, Ag014G2107700
OG0000106	Np005G2719900	Ag014G1942900, Ag862G5518700, Ag001G0029000, Ag013G1729500, Ag034G3929600, Ag033G3563600, Ag006G0804600, Ag078G5342100, Ag006G0794900
OG0000107	Np007G3984500	Ag014G1858900
OG0000107	Np007G3984300	Ag014G2149100
OG0000108	Np001G0565800	Ag031G3385800, Ag039G4307100
OG0000108	Np003G1531300, Np001G0462100	Ag004G0614200, Ag004G0644200
OG0000108	Np007G4093400	Ag014G1944700
OG0000108	Np003G1360400	Ag013G1537900
OG0000108	Np007G3950400	Ag014G2095200
OG0000109	Np002G1184600, Np005G2935200, Np007G4014300, Np005G2978600, Np006G3449000, Np003G1723900, Np003G1723300, Np003G1723600, Np011G4357100, Np002G1174400, Np008G4281000, Np002G1033400	Ag029G3099600
OG0000117	Np004G2300400	Ag018G2454400, Ag018G2459300
OG0000117	Np004G2300300	Ag088G5431700
OG0000117	Np004G2300200	Ag022G2713800, Ag018G2459500, Ag018G2459700
OG0000118	Np002G0786200	Ag072G5253200
OG0000119	Np003G1836400	Ag004G0623100, Ag004G0623400
OG0000119	Np001G0493200	Ag031G3224900
OG0000120	Np002G0949100	Ag001G0032000
OG0000121	Np006G3447000	Ag057G4960300, Ag004G0478000, Ag034G3917400
OG0000121	Np005G2954700, Np011G4358600, Np004G2590300, Np002G0965100, Np006G3634700	Ag001G0038000, Ag013G1486800, Ag034G3979800, Ag075G5293000, Ag034G3918700, Ag012G1325100, Ag048G4615600, Ag022G2667600, Ag013G1657600, Ag033G3603300, Ag088G5429800, Ag004G0527800, Ag004G0752500, Ag032G3454000, Ag013G1348300, Ag034G4049200, Ag034G4062600, Ag013G1643800, Ag004G0663600, Ag011G1257700, Ag042G4409800, Ag050G4765300, Ag025G2939600, Ag033G3480100, Ag066G5155600, Ag048G4631500, Ag002G0194900, Ag039G4332100, Ag074G5275500, Ag013G1525700
OG0000121	Np005G2604800, Np006G3604300	Ag039G4328200
