Orthogroup	Arabidopsis_arenosa	Cochlearia_excelsa
OG0000206	jg6893	g35086, g33126, g42102, g34033, g35102, g34084, g34087, g20497, g34767, g3404, g42813, g4067, g33222, g35385, g35794, g25891, g34753, g19921, g30249, g32910, g22189, g33355, g21397, g52519, g34572, g4095, g4107, g34575, g43643, g9242, g16173, g33127, g10333, g20498, g42717, g41929, g42958, g42647
OG0000208	jg21410	g21459, g33511, g33550
OG0000209	jg29693, jg29335	g2157
OG0000209	jg21051, jg1344	g5026
OG0000209	jg14429	g12731
OG0000210	jg2036	g26821
OG0000210	jg19860	g1914
OG0000211	jg23304	g43500, g43665
OG0000216	jg7640	g25664
OG0000216	jg1267	g41090, g41083, g41086
OG0000219	jg12633, jg12636	g27764, g39817
OG0000219	jg28098	g18526, g7663
OG0000221	jg11559	g4264, g37418, g16017, g28616, g34276, g15805, g31881, g48923
OG0000222	jg11917	g24943, g20945, g20027
OG0000225	jg16693	g4046
OG0000225	jg2551	g4045
OG0000226	jg4069	g17691, g17690, g17692
OG0000226	jg13732	g35947
OG0000226	jg17320	g45350
OG0000226	jg4073	g46771
OG0000229	jg17464, jg1772	g13978
OG0000229	jg23298	g26214
OG0000229	jg32293	g24726
OG0000230	jg15921	g2000
OG0000233	jg4598	g45483
OG0000233	jg4599	g29622
OG0000233	jg4597	g45482
OG0000233	jg4604, jg4594	g29623
OG0000234	jg4032	g45347
OG0000235	jg31240, jg28105, jg28076, jg2205, jg15723, jg15658, jg11688	g11302
OG0000236	jg26494	g6598
OG0000237	jg26496	g11805
OG0000237	jg26333	g36933
OG0000238	jg2708	g44676
OG0000241	jg10370, jg10371, jg10373, jg10374, jg10376, jg10372, jg7736, jg7734, jg7735	g17320
OG0000242	jg6565	g10112
OG0000243	jg31473	g27682
OG0000244	jg7893	g40712
OG0000245	jg13815	g4143, g22192, g30253
OG0000246	jg18819	g37185
OG0000246	jg18816	g51603
OG0000247	jg31833	g27759, g27721
OG0000249	jg11991	g32697, g35682, g42542, g16095, g42905, g32698
OG0000250	jg7768	g6508, g45178
OG0000250	jg5927	g5749
OG0000250	jg7876	g40469
OG0000251	jg13320	g16641
OG0000251	jg13321	g39309
OG0000252	jg3420	g46370
OG0000253	jg25213	g12277
OG0000253	jg24871	g7492
OG0000253	jg3985	g5784, g45315
OG0000254	jg11135	g47116, g47114, g17643
OG0000254	jg11136, jg11137, jg11133, jg11132	g47115
OG0000255	jg1321	g52606, g16443
OG0000256	jg27019, jg27030, jg27031	g10880
OG0000257	jg3241	g46235
OG0000259	jg33082, jg33080, jg7439, jg28872, jg19336, jg1303	g1607
OG0000259	jg32916	g6897
OG0000260	jg8417, jg9182	g6207, g6217
OG0000260	jg12428	g24958
OG0000262	jg543	g4737, g46874
OG0000262	jg719, jg720, jg7296, jg454, jg455, jg458, jg453, jg457	g24889
OG0000263	jg19302	g11496
OG0000263	jg17561	g910, g3712
OG0000266	jg22091, jg22101	g28434, g45026
OG0000267	jg32731, jg13995	g34874
OG0000267	jg32346	g52730
OG0000267	jg11749, jg11798	g42218, g42234
OG0000269	jg22908	g28758
