Orthogroup	Arabidopsis_arenosa	Euclidium_syriacum
OG0000061	jg32841, jg32864, jg32857, jg32551	ESY3_g29585_DN1_SP0_c98.t1
OG0000061	jg18005	ESY10_g14355_DN2_SP0_c0.t1
OG0000062	jg21178	ESY17_g40168_DN2_SP0_c0.t1, ESY1_g8355_DN3_SP0_c0.t1
OG0000062	jg21177	ESY7_g16267_DN1_SP0_c0.t1, ESY11_g53126_DN2_SP0_c0.t1
OG0000062	jg32622	ESY9_g44156_DN3_SP0_c0.t1
OG0000062	jg13871, jg7029	ESY14_g20663_DN3_SP0_c36.t1
OG0000063	jg32522	ESY17_g40075_DN1_SP0_c10.t1
OG0000064	jg1275, jg1269, jg1272, jg1271, jg1270, jg1273, jg1277, jg1280, jg1279, jg1274, jg1278, jg1276, jg20978, jg20976, jg20985, jg20983, jg20984, jg20981, jg20982, jg20980, jg20974, jg20975, jg20973, jg20977, jg20979	ESY16_g62560_DN2_SP0_c0.t1
OG0000065	jg12337	ESY4_g26383_DN3_SP0_c53.t1
OG0000065	jg12331	ESY4_g25771_DN2_SP0_c0.t1
OG0000066	jg4871	ESY23_g163_DN2_SP0_c0.t1
OG0000066	jg29279	ESY11_g54349_DN3_SP0_c0.t1
OG0000066	jg4927	ESY2_g36068_DN3_SP8_c0.t1
OG0000066	jg30515	ESY18_g62954_DN3_SP0_c77.t1
OG0000067	jg20815, jg24929, jg28031, jg1126, jg17679, jg14038, jg32532, jg6462, jg31439, jg5264, jg14037	ESY3_g28898_DN3_SP0_c0.t1
OG0000068	jg4186, jg4261, jg4260, jg24839, jg24838	ESY9_g42540_DN3_SP0_c0.t1, ESY10_g14312_DN3_SP0_c0.t1, ESY10_g14570_DN3_SP0_c0.t1, ESY10_g14619_DN3_SP0_c0.t1, ESY10_g14569_DN3_SP0_c0.t1, ESY2_g38376_DN3_SP0_c0.t1
OG0000068	jg32039, jg24042, jg24037, jg24035, jg32043, jg22052, jg22033, jg22034, jg4088, jg4089, jg14390, jg14389, jg14204, jg4055, jg30520	ESY6_g50195_DN3_SP0_c0.t1
OG0000068	jg12213	ESY2_g35389_DN2_SP0_c0.t1
OG0000069	jg28492	ESY8_g58271_DN2_SP0_c9.t1
OG0000069	jg11593, jg14067	ESY1_g11580_DN3_SP0_c0.t1
OG0000069	jg15499	ESY4_g22200_DN2_SP0_c0.t1, ESY3_g31688_DN3_SP0_c0.t1
OG0000069	jg13227, jg16809	ESY10_g15831_DN1_SP0_c0.t1
OG0000070	jg29403	ESY10_g14297_DN3_SP0_c35.t1
OG0000070	jg28225, jg28226, jg13116, jg13115	ESY3_g32095_DN2_SP0_c41.t1
OG0000070	jg15233	ESY1_g11987_DN2_SP0_c87.t1
OG0000072	jg12110	ESY7_g16117_DN2_SP0_c0.t1
OG0000072	jg7100, jg12084, jg27349, jg7332, jg11849	ESY9_g44874_DN3_SP0_c0.t1, ESY6_g47138_DN1_SP0_c0.t1, ESY21_g55397_DN2_SP0_c0.t1, ESY9_g44731_DN3_SP0_c0.t1
OG0000072	jg22195, jg8019, jg20178	ESY2_g37912_DN2_SP0_c0.t1
OG0000072	jg25787	ESY15_g64467_DN1_SP0_c0.t1
