Orthogroup	Cardamine_amara	Cochlearia_excelsa
OG0000134	evm.model.RL_6.678	g20890, g48878, g33917, g9237, g33799, g33857, g38909, g21309, g21182, g20425, g48451, g21537, g9600, g34175, g21773, g33854, g15366, g15295, g48455, g33959, g20321, g15392, g33756, g15365, g21160, g15698, g20414, g20512, g33912, g9087, g21838, g21716, g15460, g21006, g15685, g33851, g21745, g48385, g48366, g21734, g16184, g33763
OG0000134	evm.model.RL_1.2646	g30122, g21288, g48544, g48547, g33919, g15373, g20612, g15369, g34105, g15377, g9364, g20457, g8301, g38908, g48372, g33821, g9574, g8330, g15490, g30645, g20140, g42391, g33933, g33732, g33953, g48378, g48469, g33757, g33607, g20123, g21879, g15489, g30608, g8917, g33778, g3564, g9498, g9306, g21340, g33845, g33618, g48875, g48382, g48478, g8589, g33730, g9406, g21400, g9522, g21161, g34584, g15314, g34179, g15194, g48351, g30600, g30337, g52757, g42502, g33944, g48350, g33735, g33915, g33764, g48870, g33842, g21622, g34257, g33939, g21223, g21764, g21661, g9119, g9592, g20540, g21172, g9499, g34059, g9500, g3896, g38843, g21178, g38836, g20405, g30491, g8450, g30144, g15539, g15285, g26513, g21569, g15469, g15446, g42552, g34139, g48384, g21900, g9056, g52496, g48184, g52613
OG0000135	evm.model.RL_4.523, evm.model.RL_3.1563	g51256, g14066, g27772
OG0000136	evm.model.RL_2.429	g14687
OG0000139	evm.model.RL_8.982, evm.model.RL_2.706, evm.model.RL_3.777, evm.model.RL_8.1023, evm.model.RL_7.2060, evm.model.RL_2.666, evm.model.RL_4.723, evm.model.RL_3.732, evm.model.RL_7.1944, evm.model.RL_7.2044	g25175
OG0000140	evm.model.RL_8.2003	g1248
OG0000142	evm.model.RL_6.1032	g37876, g37875
OG0000142	evm.model.RL_6.789, evm.model.RL_6.1159	g51155, g51154, g51130, g51156
OG0000143	evm.model.RL_8.1036	g43612, g53735, g1831
OG0000144	evm.model.RL_8.1451	g32634, g26627, g450
OG0000147	evm.model.RL_1.3091	g13932
OG0000147	evm.model.RL_2.2536	g23426
OG0000147	evm.model.RL_8.1812	g1105
OG0000147	evm.model.RL_3.2406	g46563
OG0000147	evm.model.RL_2.664	g17885
OG0000147	evm.model.RL_1.2583	g6339
OG0000147	evm.model.RL_6.348	g50994
OG0000149	evm.model.RL_7.1738	g2887
OG0000149	evm.model.RL_7.1739	g2888
OG0000150	evm.model.RL_7.1810	g11441, g11440
OG0000151	evm.model.RL_8.1422	g915, g28415
OG0000151	evm.model.RL_2.2307	g17072
OG0000151	evm.model.RL_1.777	g7540
OG0000151	evm.model.RL_1.2853	g14078
OG0000151	evm.model.RL_8.1691	g28546
OG0000152	evm.model.RL_7.117, evm.model.RL_2.778, evm.model.RL_2.919, evm.model.RL_5.2414, evm.model.RL_4.661, evm.model.RL_4.735, evm.model.RL_6.581, evm.model.RL_1.2711, evm.model.RL_2.713, evm.model.RL_2.777, evm.model.RL_6.572, evm.model.RL_8.1671, evm.model.RL_6.2907, evm.model.RL_4.1821, evm.model.RL_6.815, evm.model.RL_7.1603	g22192, g30253, g4143
OG0000154	evm.model.RL_6.951, evm.model.RL_5.1456	g27332
OG0000154	evm.model.RL_1.853	g7492
OG0000155	evm.model.RL_2.2243	g23645
OG0000156	evm.model.RL_6.2689	g2802
OG0000156	evm.model.RL_4.1065	g52257
OG0000156	evm.model.RL_8.1108, evm.model.RL_8.1107, evm.model.RL_6.2691	g52256
OG0000157	evm.model.RL_5.213	g1395
OG0000161	evm.model.RL_3.891	g45103, g45101
OG0000161	evm.model.RL_3.897	g45131
OG0000162	evm.model.RL_3.978, evm.model.RL_3.979, evm.model.RL_3.975, evm.model.RL_3.977, evm.model.RL_3.976	g26821
OG0000164	evm.model.RL_4.581, evm.model.RL_2.1488	g14196, g38017, g38015, g38013, g38019, g32493
OG0000165	evm.model.RL_7.798	g24260
OG0000165	evm.model.RL_1.2476	g32056, g1088, g43890, g10671, g11814, g27290
OG0000167	evm.model.RL_2.1517	g24121
OG0000171	evm.model.RL_3.1439	g45857
OG0000171	evm.model.RL_5.927.1.687c88b0, evm.model.RL_3.461	g5177
OG0000171	evm.model.RL_4.2162.1.687c86d7	g29297
OG0000173	evm.model.RL_5.288	g52822, g25282, g31108, g41537, g37373, g50635, g15729, g49146, g17663, g37839, g27055, g49999, g53725, g17352, g17357, g17341, g1801, g25289, g14575, g15732, g18062, g46682, g32984, g45423, g24727, g33298, g51510, g2110, g32983, g4808, g10113, g26535
OG0000174	evm.model.RL_1.135	g4698
OG0000174	evm.model.RL_7.2138	g26585, g53787, g43917
OG0000175	evm.model.RL_7.1254	g6044, g13998
OG0000175	evm.model.RL_2.3122	g47947
OG0000178	evm.model.RL_8.2288	g14419
OG0000178	evm.model.RL_3.909, evm.model.RL_1.2527, evm.model.RL_6.1504	g3844, g12585
OG0000180	evm.model.RL_4.185	g34299
OG0000183	evm.model.RL_3.1014	g6570
OG0000184	evm.model.RL_8.999	g53120, g22863, g17905, g44091, g17915, g2401
OG0000184	evm.model.RL_1.2918	g5948
OG0000185	evm.model.RL_5.3641, evm.model.RL_3.292	g40049, g47161, g26166
OG0000185	evm.model.RL_3.588, evm.model.RL_1.1351	g35118, g49472
OG0000185	evm.model.RL_2.287	g24428
OG0000186	evm.model.RL_5.2354, evm.model.RL_8.2135	g1666
OG0000187	evm.model.RL_2.2676, evm.model.RL_2.2677	g35037
OG0000188	evm.model.RL_8.964	g53804, g33380, g25805, g16452
OG0000188	evm.model.RL_8.2357	g35452, g53324
OG0000188	evm.model.RL_1.2150, evm.model.RL_1.1078	g34416, g52896, g52964, g16064, g34537, g43011, g25804, g34406
OG0000190	evm.model.RL_8.476, evm.model.RL_8.475	g40442
OG0000191	evm.model.RL_1.1588	g6928
OG0000192	evm.model.RL_3.2103	g50732, g27488
OG0000192	evm.model.RL_3.2104	g31972
OG0000195	evm.model.RL_6.761	g40143
OG0000195	evm.model.RL_2.437, evm.model.RL_3.1018	g18117
OG0000196	evm.model.RL_1.1858	g27686
OG0000197	evm.model.RL_2.911	g40833, g18526, g7663, g27764, g39817
OG0000201	evm.model.RL_1.2115, evm.model.RL_1.3066	g11846
OG0000204	evm.model.RL_1.2062	g11805, g36933
OG0000205	evm.model.RL_8.836	g32507
OG0000206	evm.model.RL_8.541	g41828, g33055
OG0000209	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276	g40830
OG0000209	evm.model.RL_7.2654	g40827
OG0000209	evm.model.RL_2.161	g32745
OG0000210	evm.model.RL_7.2509	g28290
OG0000213	evm.model.RL_6.204	g38464
OG0000214	evm.model.RL_7.216, evm.model.RL_7.215	g36825, g36830
