Orthogroup	Cardamine_amara	Erysimum_linariifolium
OG0000218	evm.model.RL_7.2697_evm.model.RL_7.2698	El001G036390
OG0000219	evm.model.RL_3.1053	El004G216370
OG0000219	evm.model.RL_8.2397	El007G327350
OG0000224	evm.model.RL_3.2157	El004G230600
OG0000224	evm.model.RL_3.2156	El004G230590
OG0000225	evm.model.RL_5.2983	El002G115460
OG0000225	evm.model.RL_5.2977	El002G115540, El002G115490
OG0000225	evm.model.RL_5.2981	El002G115470, El002G115510
OG0000225	evm.model.RL_5.2976, evm.model.RL_5.2985	El002G115440
OG0000226	evm.model.RL_8.2609, evm.model.RL_8.2608	El001G017980, El001G017970, El007G334490, El007G334480, El007G337470
OG0000228	evm.model.RL_3.1491	El004G222540, El004G222580
OG0000228	evm.model.RL_4.998	El001G048740, El001G048760
OG0000228	evm.model.RL_3.1490	El004G222520
OG0000228	evm.model.RL_3.1486	El004G222500
OG0000229	evm.model.RL_8.305, evm.model.RL_8.256, evm.model.RL_8.257	El003G153420
OG0000229	evm.model.RL_2.330, evm.model.RL_7.1066	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050
OG0000231	evm.model.RL_2.361	El003G188200
OG0000234	evm.model.RL_7.1848	El001G013810
OG0000234	evm.model.RL_7.860	El001G026000
OG0000234	evm.model.RL_7.861	El001G025990
OG0000234	evm.model.RL_7.862	El001G025980
OG0000234	evm.model.RL_6.2046	El006G290620
OG0000234	evm.model.RL_4.2267	El001G068080
OG0000237	evm.model.RL_2.732	El005G266480, El003G180350
OG0000242	evm.model.RL_1.2752, evm.model.RL_1.2751	El005G272850
OG0000244	evm.model.RL_2.1690	El003G163990
OG0000246	evm.model.RL_8.1884, evm.model.RL_4.1792, evm.model.RL_4.2138	El007G366210
OG0000248	evm.model.RL_7.722	El001G027800
OG0000249	evm.model.RL_6.1770	El001G010190, El001G010200
OG0000251	evm.model.RL_3.915	El007G351370, El007G351690
OG0000252	evm.model.RL_3.611	El002G140500
OG0000256	evm.model.RL_8.503, evm.model.RL_8.501, evm.model.RL_8.502, evm.model.RL_8.500	El001G005740
OG0000256	evm.model.RL_2.275	El002G127370, El007G348390, El007G354980, El007G348590, El007G348510, El007G348440, El007G348630, El007G348410, El007G348460
OG0000256	evm.model.RL_6.2167	El006G289100
OG0000257	evm.model.RL_6.895	El005G269290
