Orthogroup	Cardamine_amara	Arabis_alpina
OG0000209	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276, evm.model.RL_7.2654	Aa_G190160.h1.t1
OG0000209	evm.model.RL_2.160, evm.model.RL_2.161	Aa_G688850.h1.t1
OG0000213	evm.model.RL_6.203	Aa_G317530.h1.t1, Aa_G278650.h1.t1
OG0000214	evm.model.RL_7.215	Aa_G716220.h1.t1
OG0000214	evm.model.RL_8.81, evm.model.RL_8.239	Aa_G296350.h1.t1, Aa_G180050.h1.t1, Aa_G99550.h1.t1, Aa_G191580.h1.t1, Aa_G53200.h1.t1, Aa_G53180.h2.t1, Aa_G53180.h1.t1, Aa_G53180.h3.t1, Aa_G77280.h1.t1, Aa_G548600.h1.t1
OG0000217	evm.model.RL_7.1931	Aa_G323330.h1.t1
OG0000218	evm.model.RL_5.1346	Aa_G328840.h1.t1
OG0000218	evm.model.RL_5.1347, evm.model.RL_5.1349	Aa_G272200.h1.t1
OG0000218	evm.model.RL_7.2697_evm.model.RL_7.2698	Aa_G278170.h1.t1, Aa_G509930.h1.t1, Aa_G509920.h1.t1
OG0000219	evm.model.RL_6.1077	Aa_G391920.h1.t1
OG0000224	evm.model.RL_3.2156	Aa_G129390.h1.t1
OG0000225	evm.model.RL_5.2978, evm.model.RL_5.2982, evm.model.RL_5.2983, evm.model.RL_5.2977	Aa_G465030.h1.t1, Aa_G778410.h1.t1, Aa_G465020.h1.t1, Aa_G22120.h1.t1, Aa_G465070.h1.t1
OG0000225	evm.model.RL_5.2975	Aa_G465010.h1.t1, Aa_G223820.h1.t1, Aa_G22140.h1.t1
