Orthogroup	Erysimum_linariifolium	Aethionema_saxatile
OG0000293	El007G348670	As008G183660, As010G232130, As005G108620, As004G086880, As002G041480, As001G006100, As010G228040, As012G281040, As007G178790, As004G092500, As002G035750, As012G280660, As001G012420, As008G183780, As010G226290, As003G071470, As002G038540, As007G178480, As009G209600, As001G010260, As008G190530, As004G096370, As001G004210, As008G187190, As010G221940, As003G075280
OG0000294	El005G254320	As011G249490
OG0000294	El002G131540	As012G273960
OG0000294	El006G293670	As006G145420
OG0000294	El006G280820	As005G099900
OG0000294	El001G002070	As006G122700
OG0000294	El002G084190	As008G198060
OG0000295	El004G213700, El004G213760	As011G246810
OG0000297	El003G145640, El006G304920	As008G198730
OG0000297	El007G330520, El005G257220	As005G114280
OG0000299	El004G215990	As004G094650, As004G094810, As004G094790, As004G094750, As004G094730, As004G094760, As004G094670, As004G094660, As004G094800
OG0000299	El002G141100	As012G267900
OG0000300	El005G270370	As008G194750
OG0000303	El004G204690, El001G012020, El001G039690, El005G277320, El002G128090	As003G069740
OG0000308	El002G101740, El004G224970, El006G308510, El006G308560, El003G190640, El002G101720	As010G240850, As010G240840, As010G240940, As010G240920
OG0000310	El002G106070, El007G331450	As005G115910, As001G004860, As001G003850, As005G113880
OG0000311	El001G064420	As009G202530
OG0000311	El002G132070	As012G273730
OG0000311	El005G254740	As011G249880
OG0000311	El004G215340	As001G029000
OG0000313	El003G165610	As003G058420
OG0000313	El003G165600	As007G163450, As007G163440
OG0000313	El003G178140	As003G064930
OG0000314	El002G086800	As008G195840
OG0000314	El006G299440, El002G086810	As006G125760
OG0000316	El006G313460, El006G313430, El006G288940, El006G288750, El006G313470	As008G187440, As008G187910
OG0000319	El002G090600, El002G090610, El007G330560	As006G129730, As005G114310, As008G191530
OG0000321	El003G185760, El003G185810, El003G185430, El003G181320	As001G010170
OG0000322	El004G231760	As009G214030
OG0000322	El002G129460, El006G289270, El006G309790, El006G309860, El002G125390	As007G153590
OG0000323	El003G156480	As005G112480
OG0000327	El002G109100, El002G109110	As008G195090, As008G195100, As011G263130
OG0000328	El003G174750	As001G029880
OG0000328	El003G188550	As004G078040, As004G078080, As004G078060, As004G078050, As004G078070
OG0000329	El006G284470, El003G174280, El006G313370	As007G180560
OG0000332	El001G060380, El001G060390	As002G033230
OG0000334	El001G024470	As012G277630
OG0000334	El006G292570, El027G373440, El004G212490, El001G002940	As006G146780
OG0000338	El002G092400, El002G092490	As008G188190, As008G188080, As001G019490, As001G019290
OG0000339	El003G161790	As003G061400
OG0000339	El001G000520	As006G121550
OG0000339	El006G282150, El001G033440	As005G101130, As012G287430
OG0000340	El006G285360	As005G103820
OG0000340	El006G285340	As005G103800, As005G103810
OG0000344	El001G051930	As009G215190, As009G215530
OG0000348	El004G225860, El007G346220, El004G225870	As002G041810
OG0000348	El006G318050, El007G363860, El003G159600, El003G182960	As002G040050
OG0000350	El002G115770	As003G070220, As003G070200
OG0000351	El002G121580	As011G246630, As009G207800, As011G246680
OG0000351	El007G329340	As011G246600
OG0000351	El002G121570	As009G207810, As011G246650
OG0000351	El005G250820	As007G177900
OG0000352	El006G309450	As007G153380
OG0000358	El002G086200, El001G072530	As006G124930, As008G196330
