Orthogroup	Erysimum_linariifolium	Odontarrhena_muralis
OG0000210	El006G297290, El006G297480, El006G298870, El006G298840	Om007G278560
OG0000213	El004G225470, El004G225480	Om004G141230, Om005G208800
OG0000213	El005G245790	Om002G053370
OG0000213	El006G319110, El006G319120, El006G319100, El006G319080	Om001G036460, Om001G036440, Om001G036450
OG0000214	El001G033600	Om007G281030
OG0000214	El006G314950	Om004G145430
OG0000215	El003G178880	Om003G099020
OG0000216	El003G163460, El003G163490	Om001G007580
OG0000218	El002G099000, El002G099030, El002G099010	Om005G195550
OG0000218	El002G099020	Om005G195570, Om005G195580
OG0000218	El001G040840, El001G040850	Om001G010890, Om001G010900, Om001G010920
OG0000218	El001G036390	Om006G241660
OG0000219	El004G216370	Om005G213260
OG0000219	El007G339360	Om008G350180, Om006G237850, Om006G237870
OG0000220	El004G196230	Om007G276730, Om007G315520
OG0000221	El001G033310	Om002G088910
OG0000224	El004G230600, El004G230590	Om004G134640, Om004G134630
OG0000224	El004G196560, El004G196620, El004G196600	Om005G225780
OG0000225	El002G115460, El002G115540, El002G115490, El002G115450	Om007G289790
OG0000225	El002G115440	Om007G289860, Om007G289850
OG0000226	El002G084730	Om003G097060
OG0000226	El003G167740, El003G167670, El003G167790	Om003G089750
OG0000226	El002G110920	Om002G080610
OG0000228	El004G222520	Om005G207070
OG0000228	El004G222650	Om005G207040
OG0000229	El002G136110, El002G136100, El002G136060, El002G136090, El001G062630, El002G136050	Om001G026580
OG0000231	El003G188200	Om006G259610
OG0000234	El001G026000	Om006G252380
OG0000234	El001G025990	Om006G252400
OG0000234	El001G025980	Om006G252410
OG0000234	El006G290620	Om008G332130
OG0000234	El001G068080	Om004G161230
OG0000235	El005G270010, El005G270000	Om002G062850, Om002G062830
OG0000235	El002G130030	Om002G062820
OG0000237	El005G266480, El003G180350	Om007G307970
OG0000242	El002G097950	Om005G193910
OG0000242	El002G097970	Om005G194120
OG0000242	El002G097940	Om005G193920, Om005G193930
OG0000243	El002G131050, El001G012090	Om007G301280, Om004G138340, Om009G363270, Om005G216250, Om003G110640, Om009G363750
OG0000244	El003G163990	Om001G008070
OG0000244	El001G005180	Om008G354340
OG0000244	El003G164000	Om001G008060
OG0000244	El001G005160	Om008G354350, Om003G110630
OG0000248	El004G205450	Om011G365210, Om020G374470
OG0000248	El001G027800	Om003G119420
OG0000249	El001G010190, El001G010200	Om008G336590, Om008G336600
OG0000249	El001G023760	Om006G255030
OG0000250	El004G221620, El004G221570	Om005G208240, Om005G208260, Om005G208250
OG0000251	El007G351370, El007G351690	Om007G290870, Om006G266390
OG0000253	El005G262180	Om004G150660
OG0000254	El004G205790, El004G205810, El004G205800, El004G205770, El005G255250	Om002G064970
OG0000254	El006G290360, El006G289630, El001G046370	Om008G330440
OG0000256	El001G005740	Om008G329780
OG0000256	El001G045880, El006G315950	Om008G329770
OG0000256	El002G127370, El007G348390, El007G354980, El007G348590, El007G348510, El007G348440, El007G348630, El007G348410, El007G348460	Om008G331560, Om008G331580, Om008G331570, Om008G331550
OG0000256	El006G289100	Om008G329670
OG0000256	El006G315200, El006G315100, El006G315180, El006G315190, El006G315090, El006G315110, El006G315230	Om008G329810
OG0000257	El003G184780	Om006G235420
OG0000257	El003G190500	Om002G053540
OG0000258	El001G040630, El001G040650	Om008G334140
OG0000258	El001G040600, El004G213560	Om005G225740
OG0000258	El001G040670	Om006G272550
OG0000264	El001G003610	Om008G355250
OG0000264	El001G004700	Om008G355310
OG0000264	El001G003620	Om004G160560, Om004G160570, Om004G160550
OG0000264	El001G003650	Om008G355300
OG0000266	El001G030730, El001G005860, El002G136470, El004G205750	Om003G128150
OG0000267	El006G303900, El006G300950, El006G300970	Om004G134370, Om005G189100, Om002G050140
OG0000268	El001G037050	Om006G274870
OG0000268	El004G198500	Om008G334210
OG0000268	El001G037010	Om008G334200
OG0000268	El001G037020	Om001G008530
OG0000268	El001G081300	Om004G176390
OG0000268	El001G024850	Om006G253920
OG0000270	El005G273730	Om001G041100
OG0000270	El003G142380	Om001G033200
OG0000270	El004G228250	Om005G202020, Om004G138430
OG0000271	El001G055480	Om002G052450
OG0000272	El003G153700	Om006G266430
OG0000273	El003G184360	Om007G280490
OG0000273	El003G181450	Om003G099210
OG0000274	El007G331270	Om006G245790
OG0000274	El001G015380, El002G138930, El005G270610, El001G015480, El001G015500	Om008G354900
OG0000274	El006G303380, El006G303400	Om007G282440
OG0000275	El005G260480	Om002G070170, Om002G070160
OG0000276	El003G177930	Om008G337850
OG0000276	El003G165590	Om001G005730
OG0000277	El003G172510	Om003G101280
OG0000278	El004G194450, El004G194550, El004G194420	Om006G246960, Om006G246900, Om006G241700, Om006G248780, Om006G248700, Om006G248830
OG0000279	El006G309180	Om007G304320, Om004G168600, Om008G348600
OG0000280	El002G123550	Om008G347720
OG0000280	El006G320040	Om006G246420
OG0000281	El002G134210, El002G134220	Om003G097620
OG0000281	El004G205670, El004G205700	Om003G121390, Om003G121360, Om003G121670
OG0000281	El007G357260	Om007G317550
OG0000281	El001G040220	Om003G121350, Om003G121370
OG0000281	El001G048140	Om001G006530, Om007G317580, Om007G317540, Om001G006540
OG0000282	El001G074230, El001G074220	Om004G168700
OG0000282	El001G074240	Om004G168720
OG0000282	El001G074210	Om004G168690
OG0000282	El001G074200, El001G074190	Om004G168680
OG0000283	El007G358960	Om007G278090
OG0000284	El001G051110	Om007G294370, Om002G074370, Om003G113380
OG0000284	El001G010020, El005G240890, El007G347650	Om008G355920, Om008G362090, Om006G261130, Om008G355220, Om008G362100
OG0000287	El005G259010	Om002G069010
OG0000287	El005G259030, El005G259040	Om002G068990, Om002G068980
OG0000288	El005G236820, El005G237970, El002G127980	Om004G133570, Om004G133540, Om004G133530, Om004G133860, Om004G133800, Om004G133790, Om004G133550, Om004G133520, Om004G133810, Om004G133560, Om004G134190, Om002G050850, Om002G050600
