Orthogroup	Erysimum_linariifolium	Cardamine_amara
OG0000196	El002G116380	evm.model.RL_1.1858
OG0000197	El003G193160, El005G275730, El005G275770, El005G276170, El003G184300, El002G120020, El003G191670, El003G190970, El003G190840	evm.model.RL_2.911
OG0000200	El004G214290	evm.model.RL_5.455
OG0000200	El002G088260	evm.model.RL_5.451
OG0000203	El005G239330, El005G239300	evm.model.RL_1.381
OG0000203	El005G239360, El005G239320, El005G239280, El007G349670	evm.model.RL_1.380
OG0000204	El005G243840, El005G241010, El001G005350, El007G342080, El002G082910, El002G082880, El005G261570, El005G259630, El003G152770	evm.model.RL_1.2062
OG0000205	El005G273080	evm.model.RL_8.836
OG0000207	El004G232160	evm.model.RL_3.2271
OG0000208	El003G143000	evm.model.RL_2.3387
OG0000209	El004G207340	evm.model.RL_2.469
OG0000209	El004G207330, El004G207320, El004G207280, El004G207300, El004G207310	evm.model.RL_3.58, evm.model.RL_3.243, evm.model.RL_6.273
OG0000209	El004G194580	evm.model.RL_3.240_evm.model.RL_3.241, evm.model.RL_6.275, evm.model.RL_3.242, evm.model.RL_6.274, evm.model.RL_6.276
OG0000209	El003G193190	evm.model.RL_2.160
OG0000210	El001G038720	evm.model.RL_7.1999
OG0000213	El006G319100, El006G319080	evm.model.RL_6.204
OG0000214	El001G033600	evm.model.RL_7.216, evm.model.RL_7.215
OG0000215	El002G117130	evm.model.RL_6.1605
OG0000217	El004G203070	evm.model.RL_7.1931
OG0000217	El004G202120	evm.model.RL_3.599
OG0000218	El002G099000	evm.model.RL_5.1346
OG0000218	El002G099030, El002G099010	evm.model.RL_5.1347, evm.model.RL_5.1349
OG0000218	El001G036390	evm.model.RL_7.2697_evm.model.RL_7.2698
OG0000219	El004G216370	evm.model.RL_3.1053
OG0000219	El007G327350	evm.model.RL_8.2397
OG0000224	El004G230600	evm.model.RL_3.2157
OG0000224	El004G230590	evm.model.RL_3.2156
OG0000225	El002G115460	evm.model.RL_5.2983
OG0000225	El002G115540, El002G115490	evm.model.RL_5.2977
OG0000225	El002G115470, El002G115510	evm.model.RL_5.2981
OG0000225	El002G115440	evm.model.RL_5.2976, evm.model.RL_5.2985
OG0000226	El001G017980, El001G017970, El007G334490, El007G334480, El007G337470	evm.model.RL_8.2609, evm.model.RL_8.2608
OG0000228	El004G222540, El004G222580	evm.model.RL_3.1491
OG0000228	El001G048740, El001G048760	evm.model.RL_4.998
